Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,αἰγύπτῐος,αἰγυπτῐ́ᾱ,αἰγύπτῐον,,αἰγυπτῐ́ω,αἰγυπτῐ́ᾱ,αἰγυπτῐ́ω,,αἰγύπτῐοι,αἰγύπτῐαι,αἰγύπτῐᾰ,,
genitive,,αἰγυπτῐ́ου,αἰγυπτῐ́ᾱς,αἰγυπτῐ́ου,,αἰγυπτῐ́οιν,αἰγυπτῐ́αιν,αἰγυπτῐ́οιν,,αἰγυπτῐ́ων,αἰγυπτῐ́ων,αἰγυπτῐ́ων,,
dative,,αἰγυπτῐ́ῳ,αἰγυπτῐ́ᾳ,αἰγυπτῐ́ῳ,,αἰγυπτῐ́οιν,αἰγυπτῐ́αιν,αἰγυπτῐ́οιν,,αἰγυπτῐ́οις,αἰγυπτῐ́αις,αἰγυπτῐ́οις,,
accusative,,αἰγύπτῐον,αἰγυπτῐ́ᾱν,αἰγύπτῐον,,αἰγυπτῐ́ω,αἰγυπτῐ́ᾱ,αἰγυπτῐ́ω,,αἰγυπτῐ́ους,αἰγυπτῐ́ᾱς,αἰγύπτῐᾰ,,
vocative,,αἰγύπτῐε,αἰγυπτῐ́ᾱ,αἰγύπτῐον,,αἰγυπτῐ́ω,αἰγυπτῐ́ᾱ,αἰγυπτῐ́ω,,αἰγύπτῐοι,αἰγύπτῐαι,αἰγύπτῐᾰ,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,αἰγυπτῐ́ως,αἰγυπτῐ́ως,αἰγυπτῐ́ως,,αἰγυπτῐώτερος,αἰγυπτῐώτερος,αἰγυπτῐώτερος,,αἰγυπτῐώτᾰτος,αἰγυπτῐώτᾰτος,αἰγυπτῐώτᾰτος,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
