Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,δοῦλος,δούλη,δοῦλον,,δούλω,δούλᾱ,δούλω,,δοῦλοι,δοῦλαι,δοῦλᾰ,,
genitive,,δούλου,δούλης,δούλου,,δούλοιν,δούλαιν,δούλοιν,,δούλων,δούλων,δούλων,,
dative,,δούλῳ,δούλῃ,δούλῳ,,δούλοιν,δούλαιν,δούλοιν,,δούλοις,δούλαις,δούλοις,,
accusative,,δοῦλον,δούλην,δοῦλον,,δούλω,δούλᾱ,δούλω,,δούλους,δούλᾱς,δοῦλᾰ,,
vocative,,δοῦλε,δούλη,δοῦλον,,δούλω,δούλᾱ,δούλω,,δοῦλοι,δοῦλαι,δοῦλᾰ,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,δούλως,δούλως,δούλως,,δουλότερος,δουλότερος,δουλότερος,,δουλότᾰτος,δουλότᾰτος,δουλότᾰτος,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
