Number,Unnamed: 1,Singular,Singular.1,Unnamed: 4,Dual,Dual.1,Unnamed: 7,Plural,Plural.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
case,,masculine,neuter,,masculine,neuter,,masculine,neuter,,,,,
nominative,,εὔπορος,εὔπορον,,εὐπόρω,εὐπόρω,,εὔποροι,εὔπορᾰ,,,,,
genitive,,εὐπόρου,εὐπόρου,,εὐπόροιν,εὐπόροιν,,εὐπόρων,εὐπόρων,,,,,
dative,,εὐπόρῳ,εὐπόρῳ,,εὐπόροιν,εὐπόροιν,,εὐπόροις,εὐπόροις,,,,,
accusative,,εὔπορον,εὔπορον,,εὐπόρω,εὐπόρω,,εὐπόρους,εὔπορᾰ,,,,,
vocative,,εὔπορε,εὔπορον,,εὐπόρω,εὐπόρω,,εὔποροι,εὔπορᾰ,,,,,
derived forms,,adverb,adverb,,comparative,comparative,,superlative,superlative,,,,,
derived forms,,εὐπόρως,εὐπόρως,,εὐπορώτερος,εὐπορώτερος,,εὐπορώτᾰτος,εὐπορώτᾰτος,,,,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
