Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,κᾰλός,κᾰλή,κᾰλόν,,κᾰλώ,κᾰλᾱ́,κᾰλώ,,κᾰλοί,κᾰλαί,κᾰλᾰ́,,
genitive,,κᾰλοῦ,κᾰλῆς,κᾰλοῦ,,κᾰλοῖν,κᾰλαῖν,κᾰλοῖν,,κᾰλῶν,κᾰλῶν,κᾰλῶν,,
dative,,κᾰλῷ,κᾰλῇ,κᾰλῷ,,κᾰλοῖν,κᾰλαῖν,κᾰλοῖν,,κᾰλοῖς,κᾰλαῖς,κᾰλοῖς,,
accusative,,κᾰλόν,κᾰλήν,κᾰλόν,,κᾰλώ,κᾰλᾱ́,κᾰλώ,,κᾰλούς,κᾰλᾱ́ς,κᾰλᾰ́,,
vocative,,κᾰλέ,κᾰλή,κᾰλόν,,κᾰλώ,κᾰλᾱ́,κᾰλώ,,κᾰλοί,κᾰλαί,κᾰλᾰ́,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,κᾰλῶς,κᾰλῶς,κᾰλῶς,,καλλίων,καλλίων,καλλίων,,κάλλιστος,κάλλιστος,κάλλιστος,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
