Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,κᾱλός,κᾱλή,κᾱλόν,,κᾱλώ,κᾱλᾱ́,κᾱλώ,,κᾱλοί,κᾱλαί,κᾱλᾰ́,,
genitive,,κᾱλοῦ,κᾱλῆς,κᾱλοῦ,,κᾱλοῖῐν,κᾱλαῖν,κᾱλοῖῐν,,κᾱλῶν,κᾱλᾱ́ων,κᾱλῶν,,
dative,,κᾱλῷ,κᾱλῇ,κᾱλῷ,,κᾱλοῖῐν,κᾱλαῖν,κᾱλοῖῐν,,κᾱλοῖσῐ,κᾱλῇσῐ,κᾱλοῖσῐ,,
accusative,,κᾱλόν,κᾱλήν,κᾱλόν,,κᾱλώ,κᾱλᾱ́,κᾱλώ,,κᾱλούς,κᾱλᾱ́ς,κᾱλᾰ́,,
vocative,,κᾱλέ,κᾱλή,κᾱλόν,,κᾱλώ,κᾱλᾱ́,κᾱλώ,,κᾱλοί,κᾱλαί,κᾱλᾰ́,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,κᾱλῶς,κᾱλῶς,κᾱλῶς,,καλλίων,καλλίων,καλλίων,,κάλλιστος,κάλλιστος,κάλλιστος,,
notes:,,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
