Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,κομψός,κομψή,κομψόν,,κομψώ,κομψᾱ́,κομψώ,,κομψοί,κομψαί,κομψᾰ́,,
genitive,,κομψοῦ,κομψῆς,κομψοῦ,,κομψοῖν,κομψαῖν,κομψοῖν,,κομψῶν,κομψῶν,κομψῶν,,
dative,,κομψῷ,κομψῇ,κομψῷ,,κομψοῖν,κομψαῖν,κομψοῖν,,κομψοῖς,κομψαῖς,κομψοῖς,,
accusative,,κομψόν,κομψήν,κομψόν,,κομψώ,κομψᾱ́,κομψώ,,κομψούς,κομψᾱ́ς,κομψᾰ́,,
vocative,,κομψέ,κομψή,κομψόν,,κομψώ,κομψᾱ́,κομψώ,,κομψοί,κομψαί,κομψᾰ́,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,κομψῶς,κομψῶς,κομψῶς,,κομψότερος,κομψότερος,κομψότερος,,κομψότᾰτος,κομψότᾰτος,κομψότᾰτος,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
