Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,νόθος,νόθη,νόθον,,νόθω,νόθᾱ,νόθω,,νόθοι,νόθαι,νόθᾰ,,
genitive,,νόθου,νόθης,νόθου,,νόθοιν,νόθαιν,νόθοιν,,νόθων,νόθων,νόθων,,
dative,,νόθῳ,νόθῃ,νόθῳ,,νόθοιν,νόθαιν,νόθοιν,,νόθοις,νόθαις,νόθοις,,
accusative,,νόθον,νόθην,νόθον,,νόθω,νόθᾱ,νόθω,,νόθους,νόθᾱς,νόθᾰ,,
vocative,,νόθε,νόθη,νόθον,,νόθω,νόθᾱ,νόθω,,νόθοι,νόθαι,νόθᾰ,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,νόθως,νόθως,νόθως,,νοθώτερος,νοθώτερος,νοθώτερος,,νοθώτᾰτος,νοθώτᾰτος,νοθώτᾰτος,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
