Number,Unnamed: 1,Singular,Singular.1,Singular.2,Unnamed: 5,Dual,Dual.1,Dual.2,Unnamed: 9,Plural,Plural.1,Plural.2,Unnamed: 13,Unnamed: 14
case,,masculine,feminine,neuter,,masculine,feminine,neuter,,masculine,feminine,neuter,,
nominative,,ῥωμαῖος,ῥωμαίᾱ,ῥωμαῖον,,ῥωμαίω,ῥωμαίᾱ,ῥωμαίω,,ῥωμαῖοι,ῥωμαῖαι,ῥωμαῖᾰ,,
genitive,,ῥωμαίου,ῥωμαίᾱς,ῥωμαίου,,ῥωμαίοιν,ῥωμαίαιν,ῥωμαίοιν,,ῥωμαίων,ῥωμαίων,ῥωμαίων,,
dative,,ῥωμαίῳ,ῥωμαίᾳ,ῥωμαίῳ,,ῥωμαίοιν,ῥωμαίαιν,ῥωμαίοιν,,ῥωμαίοις,ῥωμαίαις,ῥωμαίοις,,
accusative,,ῥωμαῖον,ῥωμαίᾱν,ῥωμαῖον,,ῥωμαίω,ῥωμαίᾱ,ῥωμαίω,,ῥωμαίους,ῥωμαίᾱς,ῥωμαῖᾰ,,
vocative,,ῥωμαῖε,ῥωμαίᾱ,ῥωμαῖον,,ῥωμαίω,ῥωμαίᾱ,ῥωμαίω,,ῥωμαῖοι,ῥωμαῖαι,ῥωμαῖᾰ,,
derived forms,,adverb,adverb,adverb,,comparative,comparative,comparative,,superlative,superlative,superlative,,
derived forms,,ῥωμαίως,ῥωμαίως,ῥωμαίως,,ῥωμαιότερος,ῥωμαιότερος,ῥωμαιότερος,,ῥωμαιότᾰτος,ῥωμαιότᾰτος,ῥωμαιότᾰτος,,
notes:,,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects,this table gives attic inflectional endings. for declension in other dialects
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
