number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
middle,indicative,ἔσομαι,ἔσῃ,ἔσται,ἔσεσθον,ἔσεσθον,ἐσόμεθᾰ,ἔσεσθε,ἔσονται,,,,
middle,optative,ἐσοίμην,ἔσοιο,ἔσοιτο,ἔσοισθον,ἐσοίσθην,ἐσοίμεθᾰ,ἔσοισθε,ἔσοιντο,,,,
,,,,,middle,middle,,,,,,,
infinitive,infinitive,,,,ἔσεσθαι,ἔσεσθαι,,,,,,,
participle,m,,,,ἐσόμενος,ἐσόμενος,,,,,,,
participle,f,,,,ἐσομένη,ἐσομένη,,,,,,,
participle,n,,,,ἐσόμενον,ἐσόμενον,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
