number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,εἰμί,ἐσσί,ἐστί,ἐστόν,ἐστόν,εἰμέν,ἐστέ,εἰσί,,,,
active,subjunctive,ἔω,ᾖς,ἔῃ,,,,ἦτε,ἔωσι,,,,
active,optative,εἴην,εἴης,εἴη,εἴητον,εἰήτην,εἴημεν,εἴητε,εἴησαν,,,,
active,imperative,,ἔσσο,ἔστω,ἔστον,ἔστων,,ἔστε,ἔστων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,εἶναι,εἶναι,εἶναι,εἶναι,,,,,,,,
participle,m,ἐών,ἐών,ἐών,ἐών,,,,,,,,
participle,f,ἐοῦσα,ἐοῦσα,ἐοῦσα,ἐοῦσα,,,,,,,,
participle,n,ἐόν,ἐόν,ἐόν,ἐόν,,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
