number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,εὐλόγηκᾰ,εὐλόγηκᾰς,εὐλόγηκε,εὐλογήκᾰτον,εὐλογήκᾰτον,εὐλογήκᾰμεν,εὐλογήκᾰτε,εὐλογήκᾱσῐ,,,,
active,subjunctive,εὐλογήκω,εὐλογήκῃς,εὐλογήκῃ,εὐλογήκητον,εὐλογήκητον,εὐλογήκωμεν,εὐλογήκητε,εὐλογήκωσῐ,,,,
active,optative,εὐλογήκοιμῐ,εὐλογήκοις,εὐλογήκοι,εὐλογήκοιτον,εὐλογηκοίτην,εὐλογήκοιμεν,εὐλογήκοιτε,εὐλογήκοιεν,,,,
active,imperative,,εὐλόγηκε,εὐλογηκέτω,εὐλογήκετον,εὐλογηκέτων,,εὐλογήκετε,εὐλογηκόντων,,,,
passive,indicative,εὐλόγημαι,εὐλόγησαι,εὐλόγηται,εὐλόγησθον,εὐλόγησθον,εὐλογήμεθᾰ,εὐλόγησθε,εὐλόγηνται,,,,
passive,subjunctive,εὐλογημένος ὦ,εὐλογημένος ᾖς,εὐλογημένος ᾖ,εὐλογημένω ἦτον,εὐλογημένω ἦτον,εὐλογημένοι ὦμεν,εὐλογημένοι ἦτε,εὐλογημένοι ὦσῐ,,,,
passive,optative,εὐλογημένος εἴην,εὐλογημένος εἴης,εὐλογημένος εἴη,εὐλογημένω εἴητον,εὐλογημένω εἰήτην,εὐλογημένοι εἴημεν,εὐλογημένοι εἴητε,εὐλογημένοι εἴησᾰν,,,,
passive,imperative,,εὐλόγησο,εὐλογήσθω,εὐλόγησθον,εὐλογήσθων,,εὐλόγησθε,εὐλογήσθων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,εὐλογηκέναι,εὐλογηκέναι,εὐλογηκέναι,εὐλογηκέναι,εὐλογῆσθαι,εὐλογῆσθαι,εὐλογῆσθαι,εὐλογῆσθαι,,,,
participle,m,εὐλογηκώς,εὐλογηκώς,εὐλογηκώς,εὐλογηκώς,εὐλογημένος,εὐλογημένος,εὐλογημένος,εὐλογημένος,,,,
participle,f,εὐλογηκυῖᾰ,εὐλογηκυῖᾰ,εὐλογηκυῖᾰ,εὐλογηκυῖᾰ,εὐλογημένη,εὐλογημένη,εὐλογημένη,εὐλογημένη,,,,
participle,n,εὐλογηκός,εὐλογηκός,εὐλογηκός,εὐλογηκός,εὐλογημένον,εὐλογημένον,εὐλογημένον,εὐλογημένον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
