number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,εὐλογέω,εὐλογέεις,εὐλογέει,εὐλογέετον,εὐλογέετον,εὐλογέομεν,εὐλογέετε,εὐλογέουσῐ,,,,
active,subjunctive,εὐλογέω,εὐλογέῃς,εὐλογέῃ,εὐλογέητον,εὐλογέητον,εὐλογέωμεν,εὐλογέητε,εὐλογέωσῐ,,,,
active,optative,εὐλογέοιμῐ,εὐλογέοις,εὐλογέοι,εὐλογέοιτον,εὐλογεοίτην,εὐλογέοιμεν,εὐλογέοιτε,εὐλογέοιεν,,,,
active,imperative,,εὐλόγεε,εὐλογεέτω,εὐλογέετον,εὐλογεέτων,,εὐλογέετε,εὐλογεόντων,,,,
passive,indicative,εὐλογέομαι,εὐλογέῃ,εὐλογέεται,εὐλογέεσθον,εὐλογέεσθον,εὐλογεόμεθᾰ,εὐλογέεσθε,εὐλογέονται,,,,
passive,subjunctive,εὐλογέωμαι,εὐλογέῃ,εὐλογέηται,εὐλογέησθον,εὐλογέησθον,εὐλογεώμεθᾰ,εὐλογέησθε,εὐλογέωνται,,,,
passive,optative,εὐλογεοίμην,εὐλογέοιο,εὐλογέοιτο,εὐλογέοισθον,εὐλογεοίσθην,εὐλογεοίμεθᾰ,εὐλογέοισθε,εὐλογέοιντο,,,,
passive,imperative,,εὐλογέου,εὐλογεέσθω,εὐλογέεσθον,εὐλογεέσθων,,εὐλογέεσθε,εὐλογεέσθων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,εὐλογέειν,εὐλογέειν,εὐλογέειν,εὐλογέειν,εὐλογέεσθαι,εὐλογέεσθαι,εὐλογέεσθαι,εὐλογέεσθαι,,,,
participle,m,εὐλογέων,εὐλογέων,εὐλογέων,εὐλογέων,εὐλογεόμενος,εὐλογεόμενος,εὐλογεόμενος,εὐλογεόμενος,,,,
participle,f,εὐλογέουσᾰ,εὐλογέουσᾰ,εὐλογέουσᾰ,εὐλογέουσᾰ,εὐλογεομένη,εὐλογεομένη,εὐλογεομένη,εὐλογεομένη,,,,
participle,n,εὐλογέον,εὐλογέον,εὐλογέον,εὐλογέον,εὐλογεόμενον,εὐλογεόμενον,εὐλογεόμενον,εὐλογεόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
