number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,εὐλογῶ,εὐλογεῖς,εὐλογεῖ,εὐλογεῖτον,εὐλογεῖτον,εὐλογοῦμεν,εὐλογεῖτε,εὐλογοῦσῐ,,,,
active,subjunctive,εὐλογῶ,εὐλογῇς,εὐλογῇ,εὐλογῆτον,εὐλογῆτον,εὐλογῶμεν,εὐλογῆτε,εὐλογῶσῐ,,,,
active,optative,εὐλογοίην,εὐλογοίης,εὐλογοίη,εὐλογοῖτον,εὐλογοίτην,εὐλογοῖμεν,εὐλογοῖτε,εὐλογοῖεν,,,,
active,imperative,,εὐλόγει,εὐλογείτω,εὐλογεῖτον,εὐλογείτων,,εὐλογεῖτε,εὐλογούντων,,,,
passive,indicative,εὐλογοῦμαι,εὐλογεῖ,εὐλογεῖται,εὐλογεῖσθον,εὐλογεῖσθον,εὐλογούμεθᾰ,εὐλογεῖσθε,εὐλογοῦνται,,,,
passive,subjunctive,εὐλογῶμαι,εὐλογῇ,εὐλογῆται,εὐλογῆσθον,εὐλογῆσθον,εὐλογώμεθᾰ,εὐλογῆσθε,εὐλογῶνται,,,,
passive,optative,εὐλογοίμην,εὐλογοῖο,εὐλογοῖτο,εὐλογοῖσθον,εὐλογοίσθην,εὐλογοίμεθᾰ,εὐλογοῖσθε,εὐλογοῖντο,,,,
passive,imperative,,εὐλογοῦ,εὐλογείσθω,εὐλογεῖσθον,εὐλογείσθων,,εὐλογεῖσθε,εὐλογείσθων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,εὐλογεῖν,εὐλογεῖν,εὐλογεῖν,εὐλογεῖν,εὐλογεῖσθαι,εὐλογεῖσθαι,εὐλογεῖσθαι,εὐλογεῖσθαι,,,,
participle,m,εὐλογῶν,εὐλογῶν,εὐλογῶν,εὐλογῶν,εὐλογούμενος,εὐλογούμενος,εὐλογούμενος,εὐλογούμενος,,,,
participle,f,εὐλογοῦσᾰ,εὐλογοῦσᾰ,εὐλογοῦσᾰ,εὐλογοῦσᾰ,εὐλογουμένη,εὐλογουμένη,εὐλογουμένη,εὐλογουμένη,,,,
participle,n,εὐλογοῦν,εὐλογοῦν,εὐλογοῦν,εὐλογοῦν,εὐλογούμενον,εὐλογούμενον,εὐλογούμενον,εὐλογούμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
