number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,κᾰτηγορέω,κᾰτηγορέεις,κᾰτηγορέει,κᾰτηγορέετον,κᾰτηγορέετον,κᾰτηγορέομεν,κᾰτηγορέετε,κᾰτηγορέουσῐ,,,,
active,subjunctive,κᾰτηγορέω,κᾰτηγορέῃς,κᾰτηγορέῃ,κᾰτηγορέητον,κᾰτηγορέητον,κᾰτηγορέωμεν,κᾰτηγορέητε,κᾰτηγορέωσῐ,,,,
active,optative,κᾰτηγορέοιμῐ,κᾰτηγορέοις,κᾰτηγορέοι,κᾰτηγορέοιτον,κᾰτηγορεοίτην,κᾰτηγορέοιμεν,κᾰτηγορέοιτε,κᾰτηγορέοιεν,,,,
active,imperative,,κᾰτηγόρεε,κᾰτηγορεέτω,κᾰτηγορέετον,κᾰτηγορεέτων,,κᾰτηγορέετε,κᾰτηγορεόντων,,,,
middle,indicative,κᾰτηγορέομαι,κᾰτηγορέῃ,κᾰτηγορέεται,κᾰτηγορέεσθον,κᾰτηγορέεσθον,κᾰτηγορεόμεθᾰ,κᾰτηγορέεσθε,κᾰτηγορέονται,,,,
middle,subjunctive,κᾰτηγορέωμαι,κᾰτηγορέῃ,κᾰτηγορέηται,κᾰτηγορέησθον,κᾰτηγορέησθον,κᾰτηγορεώμεθᾰ,κᾰτηγορέησθε,κᾰτηγορέωνται,,,,
middle,optative,κᾰτηγορεοίμην,κᾰτηγορέοιο,κᾰτηγορέοιτο,κᾰτηγορέοισθον,κᾰτηγορεοίσθην,κᾰτηγορεοίμεθᾰ,κᾰτηγορέοισθε,κᾰτηγορέοιντο,,,,
middle,imperative,,κᾰτηγορέου,κᾰτηγορεέσθω,κᾰτηγορέεσθον,κᾰτηγορεέσθων,,κᾰτηγορέεσθε,κᾰτηγορεέσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,κᾰτηγορέειν,κᾰτηγορέειν,κᾰτηγορέειν,κᾰτηγορέειν,κᾰτηγορέεσθαι,κᾰτηγορέεσθαι,κᾰτηγορέεσθαι,κᾰτηγορέεσθαι,,,,
participle,m,κᾰτηγορέων,κᾰτηγορέων,κᾰτηγορέων,κᾰτηγορέων,κᾰτηγορεόμενος,κᾰτηγορεόμενος,κᾰτηγορεόμενος,κᾰτηγορεόμενος,,,,
participle,f,κᾰτηγορέουσᾰ,κᾰτηγορέουσᾰ,κᾰτηγορέουσᾰ,κᾰτηγορέουσᾰ,κᾰτηγορεομένη,κᾰτηγορεομένη,κᾰτηγορεομένη,κᾰτηγορεομένη,,,,
participle,n,κᾰτηγορέον,κᾰτηγορέον,κᾰτηγορέον,κᾰτηγορέον,κᾰτηγορεόμενον,κᾰτηγορεόμενον,κᾰτηγορεόμενον,κᾰτηγορεόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
