number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,κᾰτηγορῶ,κᾰτηγορεῖς,κᾰτηγορεῖ,κᾰτηγορεῖτον,κᾰτηγορεῖτον,κᾰτηγοροῦμεν,κᾰτηγορεῖτε,κᾰτηγοροῦσῐ,,,,
active,subjunctive,κᾰτηγορῶ,κᾰτηγορῇς,κᾰτηγορῇ,κᾰτηγορῆτον,κᾰτηγορῆτον,κᾰτηγορῶμεν,κᾰτηγορῆτε,κᾰτηγορῶσῐ,,,,
active,optative,κᾰτηγοροίην,κᾰτηγοροίης,κᾰτηγοροίη,κᾰτηγοροῖτον,κᾰτηγοροίτην,κᾰτηγοροῖμεν,κᾰτηγοροῖτε,κᾰτηγοροῖεν,,,,
active,imperative,,κᾰτηγόρει,κᾰτηγορείτω,κᾰτηγορεῖτον,κᾰτηγορείτων,,κᾰτηγορεῖτε,κᾰτηγορούντων,,,,
middle,indicative,κᾰτηγοροῦμαι,κᾰτηγορεῖ,κᾰτηγορεῖται,κᾰτηγορεῖσθον,κᾰτηγορεῖσθον,κᾰτηγορούμεθᾰ,κᾰτηγορεῖσθε,κᾰτηγοροῦνται,,,,
middle,subjunctive,κᾰτηγορῶμαι,κᾰτηγορῇ,κᾰτηγορῆται,κᾰτηγορῆσθον,κᾰτηγορῆσθον,κᾰτηγορώμεθᾰ,κᾰτηγορῆσθε,κᾰτηγορῶνται,,,,
middle,optative,κᾰτηγοροίμην,κᾰτηγοροῖο,κᾰτηγοροῖτο,κᾰτηγοροῖσθον,κᾰτηγοροίσθην,κᾰτηγοροίμεθᾰ,κᾰτηγοροῖσθε,κᾰτηγοροῖντο,,,,
middle,imperative,,κᾰτηγοροῦ,κᾰτηγορείσθω,κᾰτηγορεῖσθον,κᾰτηγορείσθων,,κᾰτηγορεῖσθε,κᾰτηγορείσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,κᾰτηγορεῖν,κᾰτηγορεῖν,κᾰτηγορεῖν,κᾰτηγορεῖν,κᾰτηγορεῖσθαι,κᾰτηγορεῖσθαι,κᾰτηγορεῖσθαι,κᾰτηγορεῖσθαι,,,,
participle,m,κᾰτηγορῶν,κᾰτηγορῶν,κᾰτηγορῶν,κᾰτηγορῶν,κᾰτηγορούμενος,κᾰτηγορούμενος,κᾰτηγορούμενος,κᾰτηγορούμενος,,,,
participle,f,κᾰτηγοροῦσᾰ,κᾰτηγοροῦσᾰ,κᾰτηγοροῦσᾰ,κᾰτηγοροῦσᾰ,κᾰτηγορουμένη,κᾰτηγορουμένη,κᾰτηγορουμένη,κᾰτηγορουμένη,,,,
participle,n,κᾰτηγοροῦν,κᾰτηγοροῦν,κᾰτηγοροῦν,κᾰτηγοροῦν,κᾰτηγορούμενον,κᾰτηγορούμενον,κᾰτηγορούμενον,κᾰτηγορούμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
