number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,μεμῑ́σηκᾰ,μεμῑ́σηκᾰς,μεμῑ́σηκε,μεμῑσήκᾰτον,μεμῑσήκᾰτον,μεμῑσήκᾰμεν,μεμῑσήκᾰτε,μεμῑσήκᾱσῐ,,,,
active,subjunctive,μεμῑσήκω,μεμῑσήκῃς,μεμῑσήκῃ,μεμῑσήκητον,μεμῑσήκητον,μεμῑσήκωμεν,μεμῑσήκητε,μεμῑσήκωσῐ,,,,
active,optative,μεμῑσήκοιμῐ,μεμῑσήκοις,μεμῑσήκοι,μεμῑσήκοιτον,μεμῑσηκοίτην,μεμῑσήκοιμεν,μεμῑσήκοιτε,μεμῑσήκοιεν,,,,
active,imperative,,μεμῑ́σηκε,μεμῑσηκέτω,μεμῑσήκετον,μεμῑσηκέτων,,μεμῑσήκετε,μεμῑσηκόντων,,,,
middle,indicative,μεμῑ́σημαι,μεμῑ́σησαι,μεμῑ́σηται,μεμῑ́σησθον,μεμῑ́σησθον,μεμῑσήμεθᾰ,μεμῑ́σησθε,μεμῑ́σηνται,,,,
middle,subjunctive,μεμῑσημένος ὦ,μεμῑσημένος ᾖς,μεμῑσημένος ᾖ,μεμῑσημένω ἦτον,μεμῑσημένω ἦτον,μεμῑσημένοι ὦμεν,μεμῑσημένοι ἦτε,μεμῑσημένοι ὦσῐ,,,,
middle,optative,μεμῑσημένος εἴην,μεμῑσημένος εἴης,μεμῑσημένος εἴη,μεμῑσημένω εἴητον,μεμῑσημένω εἰήτην,μεμῑσημένοι εἴημεν,μεμῑσημένοι εἴητε,μεμῑσημένοι εἴησᾰν,,,,
middle,imperative,,μεμῑ́σησο,μεμῑσήσθω,μεμῑ́σησθον,μεμῑσήσθων,,μεμῑ́σησθε,μεμῑσήσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,μεμῑσηκέναι,μεμῑσηκέναι,μεμῑσηκέναι,μεμῑσηκέναι,μεμῑσῆσθαι,μεμῑσῆσθαι,μεμῑσῆσθαι,μεμῑσῆσθαι,,,,
participle,m,μεμῑσηκώς,μεμῑσηκώς,μεμῑσηκώς,μεμῑσηκώς,μεμῑσημένος,μεμῑσημένος,μεμῑσημένος,μεμῑσημένος,,,,
participle,f,μεμῑσηκυῖᾰ,μεμῑσηκυῖᾰ,μεμῑσηκυῖᾰ,μεμῑσηκυῖᾰ,μεμῑσημένη,μεμῑσημένη,μεμῑσημένη,μεμῑσημένη,,,,
participle,n,μεμῑσηκός,μεμῑσηκός,μεμῑσηκός,μεμῑσηκός,μεμῑσημένον,μεμῑσημένον,μεμῑσημένον,μεμῑσημένον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
