number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,μῑσῶ,μῑσεῖς,μῑσεῖ,μῑσεῖτον,μῑσεῖτον,μῑσοῦμεν,μῑσεῖτε,μῑσοῦσῐ,,,,
active,subjunctive,μῑσῶ,μῑσῇς,μῑσῇ,μῑσῆτον,μῑσῆτον,μῑσῶμεν,μῑσῆτε,μῑσῶσῐ,,,,
active,optative,μῑσοίην,μῑσοίης,μῑσοίη,μῑσοῖτον,μῑσοίτην,μῑσοῖμεν,μῑσοῖτε,μῑσοῖεν,,,,
active,imperative,,μῑ́σει,μῑσείτω,μῑσεῖτον,μῑσείτων,,μῑσεῖτε,μῑσούντων,,,,
middle,indicative,μῑσοῦμαι,μῑσεῖ,μῑσεῖται,μῑσεῖσθον,μῑσεῖσθον,μῑσούμεθᾰ,μῑσεῖσθε,μῑσοῦνται,,,,
middle,subjunctive,μῑσῶμαι,μῑσῇ,μῑσῆται,μῑσῆσθον,μῑσῆσθον,μῑσώμεθᾰ,μῑσῆσθε,μῑσῶνται,,,,
middle,optative,μῑσοίμην,μῑσοῖο,μῑσοῖτο,μῑσοῖσθον,μῑσοίσθην,μῑσοίμεθᾰ,μῑσοῖσθε,μῑσοῖντο,,,,
middle,imperative,,μῑσοῦ,μῑσείσθω,μῑσεῖσθον,μῑσείσθων,,μῑσεῖσθε,μῑσείσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,μῑσεῖν,μῑσεῖν,μῑσεῖν,μῑσεῖν,μῑσεῖσθαι,μῑσεῖσθαι,μῑσεῖσθαι,μῑσεῖσθαι,,,,
participle,m,μῑσῶν,μῑσῶν,μῑσῶν,μῑσῶν,μῑσούμενος,μῑσούμενος,μῑσούμενος,μῑσούμενος,,,,
participle,f,μῑσοῦσᾰ,μῑσοῦσᾰ,μῑσοῦσᾰ,μῑσοῦσᾰ,μῑσουμένη,μῑσουμένη,μῑσουμένη,μῑσουμένη,,,,
participle,n,μῑσοῦν,μῑσοῦν,μῑσοῦν,μῑσοῦν,μῑσούμενον,μῑσούμενον,μῑσούμενον,μῑσούμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
