number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,ἐπαίδευσᾰ,ἐπαίδευσᾰς,ἐπαίδευσε,ἐπαιδεύσᾰτον,ἐπαιδευσᾰ́την,ἐπαιδεύσᾰμεν,ἐπαιδεύσᾰτε,ἐπαίδευσᾰν,,,,
active,subjunctive,παιδεύσω,παιδεύσῃς,παιδεύσῃ,παιδεύσητον,παιδεύσητον,παιδεύσωμεν,παιδεύσητε,παιδεύσωσῐ,,,,
active,optative,παιδεύσαιμῐ,παιδεύσειᾰς,παιδεύσειε,παιδεύσαιτον,παιδευσαίτην,παιδεύσαιμεν,παιδεύσαιτε,παιδεύσειᾰν,,,,
active,imperative,,παίδευσον,παιδευσᾰ́τω,παιδεύσᾰτον,παιδευσᾰ́των,,παιδεύσᾰτε,παιδευσᾰ́ντων,,,,
middle,indicative,ἐπαιδευσᾰ́μην,ἐπαιδεύσω,ἐπαιδεύσᾰτο,ἐπαιδεύσᾰσθον,ἐπαιδευσᾰ́σθην,ἐπαιδευσᾰ́μεθᾰ,ἐπαιδεύσᾰσθε,ἐπαιδεύσᾰντο,,,,
middle,subjunctive,παιδεύσωμαι,παιδεύσῃ,παιδεύσηται,παιδεύσησθον,παιδεύσησθον,παιδευσώμεθᾰ,παιδεύσησθε,παιδεύσωνται,,,,
middle,optative,παιδευσαίμην,παιδεύσαιο,παιδεύσαιτο,παιδεύσαισθον,παιδευσαίσθην,παιδευσαίμεθᾰ,παιδεύσαισθε,παιδεύσαιντο,,,,
middle,imperative,,παίδευσαι,παιδευσᾰ́σθω,παιδεύσᾰσθον,παιδευσᾰ́σθων,,παιδεύσᾰσθε,παιδευσᾰ́σθων,,,,
passive,indicative,ἐπαιδεύθην,ἐπαιδεύθης,ἐπαιδεύθη,ἐπαιδεύθητον,ἐπαιδευθήτην,ἐπαιδεύθημεν,ἐπαιδεύθητε,ἐπαιδεύθησᾰν,,,,
passive,subjunctive,παιδευθῶ,παιδευθῇς,παιδευθῇ,παιδευθῆτον,παιδευθῆτον,παιδευθῶμεν,παιδευθῆτε,παιδευθῶσῐ,,,,
passive,optative,παιδευθείην,παιδευθείης,παιδευθείη,παιδευθεῖτον,παιδευθείτην,παιδευθεῖμεν,παιδευθεῖτε,παιδευθεῖεν,,,,
passive,imperative,,παιδεύθητῐ,παιδευθήτω,παιδεύθητον,παιδευθήτων,,παιδεύθητε,παιδευθέντων,,,,
,,active,active,active,middle,middle,passive,passive,passive,,,,
infinitive,infinitive,παιδεῦσαι,παιδεῦσαι,παιδεῦσαι,παιδεύσᾰσθαι,παιδεύσᾰσθαι,παιδευθῆναι,παιδευθῆναι,παιδευθῆναι,,,,
participle,m,παιδεύσᾱς,παιδεύσᾱς,παιδεύσᾱς,παιδευσᾰ́μενος,παιδευσᾰ́μενος,παιδευθείς,παιδευθείς,παιδευθείς,,,,
participle,f,παιδεύσᾱσᾰ,παιδεύσᾱσᾰ,παιδεύσᾱσᾰ,παιδευσᾰμένη,παιδευσᾰμένη,παιδευθεῖσᾰ,παιδευθεῖσᾰ,παιδευθεῖσᾰ,,,,
participle,n,παιδεῦσᾰν,παιδεῦσᾰν,παιδεῦσᾰν,παιδευσᾰ́μενον,παιδευσᾰ́μενον,παιδευθέν,παιδευθέν,παιδευθέν,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
