number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,παιδεύσω,παιδεύσεις,παιδεύσει,παιδεύσετον,παιδεύσετον,παιδεύσομεν,παιδεύσετε,παιδεύσουσῐ,,,,
active,optative,παιδεύσοιμῐ,παιδεύσοις,παιδεύσοι,παιδεύσοιτον,παιδευσοίτην,παιδεύσοιμεν,παιδεύσοιτε,παιδεύσοιεν,,,,
middle,indicative,παιδεύσομαι,παιδεύσῃ,παιδεύσεται,παιδεύσεσθον,παιδεύσεσθον,παιδευσόμεθᾰ,παιδεύσεσθε,παιδεύσονται,,,,
middle,optative,παιδευσοίμην,παιδεύσοιο,παιδεύσοιτο,παιδεύσοισθον,παιδευσοίσθην,παιδευσοίμεθᾰ,παιδεύσοισθε,παιδεύσοιντο,,,,
passive,indicative,παιδευθήσομαι,παιδευθήσῃ,παιδευθήσεται,παιδευθήσεσθον,παιδευθήσεσθον,παιδευθησόμεθᾰ,παιδευθήσεσθε,παιδευθήσονται,,,,
passive,optative,παιδευθησοίμην,παιδευθήσοιο,παιδευθήσοιτο,παιδευθήσοισθον,παιδευθησοίσθην,παιδευθησοίμεθᾰ,παιδευθήσοισθε,παιδευθήσοιντο,,,,
,,active,active,active,middle,middle,passive,passive,passive,,,,
infinitive,infinitive,παιδεύσειν,παιδεύσειν,παιδεύσειν,παιδεύσεσθαι,παιδεύσεσθαι,παιδευθήσεσθαι,παιδευθήσεσθαι,παιδευθήσεσθαι,,,,
participle,m,παιδεύσων,παιδεύσων,παιδεύσων,παιδευσόμενος,παιδευσόμενος,παιδευθησόμενος,παιδευθησόμενος,παιδευθησόμενος,,,,
participle,f,παιδεύσουσᾰ,παιδεύσουσᾰ,παιδεύσουσᾰ,παιδευσομένη,παιδευσομένη,παιδευθησομένη,παιδευθησομένη,παιδευθησομένη,,,,
participle,n,παιδεῦσον,παιδεῦσον,παιδεῦσον,παιδευσόμενον,παιδευσόμενον,παιδευθησόμενον,παιδευθησόμενον,παιδευθησόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
