number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,παιδεύω,παιδεύεις,παιδεύει,παιδεύετον,παιδεύετον,παιδεύομεν,παιδεύετε,παιδεύουσῐ,,,,
active,subjunctive,παιδεύω,παιδεύῃς,παιδεύῃ,παιδεύητον,παιδεύητον,παιδεύωμεν,παιδεύητε,παιδεύωσῐ,,,,
active,optative,παιδεύοιμῐ,παιδεύοις,παιδεύοι,παιδεύοιτον,παιδευοίτην,παιδεύοιμεν,παιδεύοιτε,παιδεύοιεν,,,,
active,imperative,,παίδευε,παιδευέτω,παιδεύετον,παιδευέτων,,παιδεύετε,παιδευόντων,,,,
middle,indicative,παιδεύομαι,παιδεύῃ,παιδεύεται,παιδεύεσθον,παιδεύεσθον,παιδευόμεθᾰ,παιδεύεσθε,παιδεύονται,,,,
middle,subjunctive,παιδεύωμαι,παιδεύῃ,παιδεύηται,παιδεύησθον,παιδεύησθον,παιδευώμεθᾰ,παιδεύησθε,παιδεύωνται,,,,
middle,optative,παιδευοίμην,παιδεύοιο,παιδεύοιτο,παιδεύοισθον,παιδευοίσθην,παιδευοίμεθᾰ,παιδεύοισθε,παιδεύοιντο,,,,
middle,imperative,,παιδεύου,παιδευέσθω,παιδεύεσθον,παιδευέσθων,,παιδεύεσθε,παιδευέσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,παιδεύειν,παιδεύειν,παιδεύειν,παιδεύειν,παιδεύεσθαι,παιδεύεσθαι,παιδεύεσθαι,παιδεύεσθαι,,,,
participle,m,παιδεύων,παιδεύων,παιδεύων,παιδεύων,παιδευόμενος,παιδευόμενος,παιδευόμενος,παιδευόμενος,,,,
participle,f,παιδεύουσᾰ,παιδεύουσᾰ,παιδεύουσᾰ,παιδεύουσᾰ,παιδευομένη,παιδευομένη,παιδευομένη,παιδευομένη,,,,
participle,n,παιδεῦον,παιδεῦον,παιδεῦον,παιδεῦον,παιδευόμενον,παιδευόμενον,παιδευόμενον,παιδευόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
