number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,πολεμέω,πολεμέεις,πολεμέει,πολεμέετον,πολεμέετον,πολεμέομεν,πολεμέετε,πολεμέουσῐ,,,,
active,subjunctive,πολεμέω,πολεμέῃς,πολεμέῃ,πολεμέητον,πολεμέητον,πολεμέωμεν,πολεμέητε,πολεμέωσῐ,,,,
active,optative,πολεμέοιμῐ,πολεμέοις,πολεμέοι,πολεμέοιτον,πολεμεοίτην,πολεμέοιμεν,πολεμέοιτε,πολεμέοιεν,,,,
active,imperative,,πολέμεε,πολεμεέτω,πολεμέετον,πολεμεέτων,,πολεμέετε,πολεμεόντων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,πολεμέειν,πολεμέειν,πολεμέειν,πολεμέειν,,,,,,,,
participle,m,πολεμέων,πολεμέων,πολεμέων,πολεμέων,,,,,,,,
participle,f,πολεμέουσᾰ,πολεμέουσᾰ,πολεμέουσᾰ,πολεμέουσᾰ,,,,,,,,
participle,n,πολεμέον,πολεμέον,πολεμέον,πολεμέον,,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
