number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,πολεμῶ,πολεμεῖς,πολεμεῖ,πολεμεῖτον,πολεμεῖτον,πολεμοῦμεν,πολεμεῖτε,πολεμοῦσῐ,,,,
active,subjunctive,πολεμῶ,πολεμῇς,πολεμῇ,πολεμῆτον,πολεμῆτον,πολεμῶμεν,πολεμῆτε,πολεμῶσῐ,,,,
active,optative,πολεμοίην,πολεμοίης,πολεμοίη,πολεμοῖτον,πολεμοίτην,πολεμοῖμεν,πολεμοῖτε,πολεμοῖεν,,,,
active,imperative,,πολέμει,πολεμείτω,πολεμεῖτον,πολεμείτων,,πολεμεῖτε,πολεμούντων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,πολεμεῖν,πολεμεῖν,πολεμεῖν,πολεμεῖν,,,,,,,,
participle,m,πολεμῶν,πολεμῶν,πολεμῶν,πολεμῶν,,,,,,,,
participle,f,πολεμοῦσᾰ,πολεμοῦσᾰ,πολεμοῦσᾰ,πολεμοῦσᾰ,,,,,,,,
participle,n,πολεμοῦν,πολεμοῦν,πολεμοῦν,πολεμοῦν,,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
