number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,ἔσωσᾰ,ἔσωσᾰς,ἔσωσε,ἐσώσᾰτον,ἐσωσᾰ́την,ἐσώσᾰμεν,ἐσώσᾰτε,ἔσωσᾰν,,,,
active,subjunctive,σώσω,σώσῃς,σώσῃ,σώσητον,σώσητον,σώσωμεν,σώσητε,σώσωσῐ,,,,
active,optative,σώσαιμῐ,σώσειᾰς,σώσειε,σώσαιτον,σωσαίτην,σώσαιμεν,σώσαιτε,σώσειᾰν,,,,
active,imperative,,σῶσον,σωσᾰ́τω,σώσᾰτον,σωσᾰ́των,,σώσᾰτε,σωσᾰ́ντων,,,,
middle,indicative,ἐσωσᾰ́μην,ἐσώσω,ἐσώσᾰτο,ἐσώσᾰσθον,ἐσωσᾰ́σθην,ἐσωσᾰ́μεθᾰ,ἐσώσᾰσθε,ἐσώσᾰντο,,,,
middle,subjunctive,σώσωμαι,σώσῃ,σώσηται,σώσησθον,σώσησθον,σωσώμεθᾰ,σώσησθε,σώσωνται,,,,
middle,optative,σωσαίμην,σώσαιο,σώσαιτο,σώσαισθον,σωσαίσθην,σωσαίμεθᾰ,σώσαισθε,σώσαιντο,,,,
middle,imperative,,σῶσαι,σωσᾰ́σθω,σώσᾰσθον,σωσᾰ́σθων,,σώσᾰσθε,σωσᾰ́σθων,,,,
passive,indicative,ἐσώθην,ἐσώθης,ἐσώθη,ἐσώθητον,ἐσωθήτην,ἐσώθημεν,ἐσώθητε,ἐσώθησᾰν,,,,
passive,subjunctive,σωθῶ,σωθῇς,σωθῇ,σωθῆτον,σωθῆτον,σωθῶμεν,σωθῆτε,σωθῶσῐ,,,,
passive,optative,σωθείην,σωθείης,σωθείη,σωθεῖτον,σωθείτην,σωθεῖμεν,σωθεῖτε,σωθεῖεν,,,,
passive,imperative,,σώθητῐ,σωθήτω,σώθητον,σωθήτων,,σώθητε,σωθέντων,,,,
,,active,active,active,middle,middle,passive,passive,passive,,,,
infinitive,infinitive,σῶσαι,σῶσαι,σῶσαι,σώσᾰσθαι,σώσᾰσθαι,σωθῆναι,σωθῆναι,σωθῆναι,,,,
participle,m,σώσᾱς,σώσᾱς,σώσᾱς,σωσᾰ́μενος,σωσᾰ́μενος,σωθείς,σωθείς,σωθείς,,,,
participle,f,σώσᾱσᾰ,σώσᾱσᾰ,σώσᾱσᾰ,σωσᾰμένη,σωσᾰμένη,σωθεῖσᾰ,σωθεῖσᾰ,σωθεῖσᾰ,,,,
participle,n,σῶσᾰν,σῶσᾰν,σῶσᾰν,σωσᾰ́μενον,σωσᾰ́μενον,σωθέν,σωθέν,σωθέν,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
