number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,σωέω,σωέεις,σωέει,σωέετον,σωέετον,σωέομεν,σωέετε,σωέουσῐ,,,,
active,optative,σωέοιμῐ,σωέοις,σωέοι,σωέοιτον,σωεοίτην,σωέοιμεν,σωέοιτε,σωέοιεν,,,,
middle,indicative,σωέομαι,σωέῃ,σωέεται,σωέεσθον,σωέεσθον,σωεόμεθᾰ,σωέεσθε,σωέονται,,,,
middle,optative,σωεοίμην,σωέοιο,σωέοιτο,σωέοισθον,σωεοίσθην,σωεοίμεθᾰ,σωέοισθε,σωέοιντο,,,,
,,active,active,active,middle,middle,,,,,,,
infinitive,infinitive,σωέειν,σωέειν,σωέειν,σωέεσθαι,σωέεσθαι,,,,,,,
participle,m,σωέων,σωέων,σωέων,σωεόμενος,σωεόμενος,,,,,,,
participle,f,σωέουσᾰ,σωέουσᾰ,σωέουσᾰ,σωεομένη,σωεομένη,,,,,,,
participle,n,σωέον,σωέον,σωέον,σωεόμενον,σωεόμενον,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
