number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,σωῶ,σωεῖς,σωεῖ,σωεῖτον,σωεῖτον,σωοῦμεν,σωεῖτε,σωοῦσῐ,,,,
active,optative,σωοίην,σωοίης,σωοίη,σωοῖτον,σωοίτην,σωοῖμεν,σωοῖτε,σωοῖεν,,,,
middle,indicative,σωοῦμαι,σωῇ,σωεῖται,σωεῖσθον,σωεῖσθον,σωούμεθᾰ,σωεῖσθε,σωοῦνται,,,,
middle,optative,σωοίμην,σωοῖο,σωοῖτο,σωοῖσθον,σωοίσθην,σωοίμεθᾰ,σωοῖσθε,σωοῖντο,,,,
,,active,active,active,middle,middle,,,,,,,
infinitive,infinitive,σωεῖν,σωεῖν,σωεῖν,σωεῖσθαι,σωεῖσθαι,,,,,,,
participle,m,σωῶν,σωῶν,σωῶν,σωούμενος,σωούμενος,,,,,,,
participle,f,σωοῦσᾰ,σωοῦσᾰ,σωοῦσᾰ,σωουμένη,σωουμένη,,,,,,,
participle,n,σωοῦν,σωοῦν,σωοῦν,σωούμενον,σωούμενον,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
