number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,σέσωκᾰ,σέσωκᾰς,σέσωκε,σεσώκᾰτον,σεσώκᾰτον,σεσώκᾰμεν,σεσώκᾰτε,σεσώκᾱσῐ,,,,
active,subjunctive,σεσώκω,σεσώκῃς,σεσώκῃ,σεσώκητον,σεσώκητον,σεσώκωμεν,σεσώκητε,σεσώκωσῐ,,,,
active,optative,σεσώκοιμῐ,σεσώκοις,σεσώκοι,σεσώκοιτον,σεσωκοίτην,σεσώκοιμεν,σεσώκοιτε,σεσώκοιεν,,,,
active,imperative,,σέσωκε,σεσωκέτω,σεσώκετον,σεσωκέτων,,σεσώκετε,σεσωκόντων,,,,
middle,indicative,σέσῳσμαι,σέσῳσαι,σέσῳσται,σέσῳσθον,σέσῳσθον,σεσῴσμεθᾰ,σέσῳσθε,σεσῴσᾰται,,,,
middle,subjunctive,σεσῳσμένος ὦ,σεσῳσμένος ᾖς,σεσῳσμένος ᾖ,σεσῳσμένω ἦτον,σεσῳσμένω ἦτον,σεσῳσμένοι ὦμεν,σεσῳσμένοι ἦτε,σεσῳσμένοι ὦσῐ,,,,
middle,optative,σεσῳσμένος εἴην,σεσῳσμένος εἴης,σεσῳσμένος εἴη,σεσῳσμένω εἴητον,σεσῳσμένω εἰήτην,σεσῳσμένοι εἴημεν,σεσῳσμένοι εἴητε,σεσῳσμένοι εἴησᾰν,,,,
middle,imperative,,σέσῳσο,σεσῴσθω,σέσῳσθον,σεσῴσθων,,σέσῳσθε,σεσῴσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,σεσωκέναι,σεσωκέναι,σεσωκέναι,σεσωκέναι,σεσῷσθαι,σεσῷσθαι,σεσῷσθαι,σεσῷσθαι,,,,
participle,m,σεσωκώς,σεσωκώς,σεσωκώς,σεσωκώς,σεσῳσμένος,σεσῳσμένος,σεσῳσμένος,σεσῳσμένος,,,,
participle,f,σεσωκυῖᾰ,σεσωκυῖᾰ,σεσωκυῖᾰ,σεσωκυῖᾰ,σεσῳσμένη,σεσῳσμένη,σεσῳσμένη,σεσῳσμένη,,,,
participle,n,σεσωκός,σεσωκός,σεσωκός,σεσωκός,σεσῳσμένον,σεσῳσμένον,σεσῳσμένον,σεσῳσμένον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
