number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
middle,indicative,σέσωμαι,σέσωσαι,σέσωται,σέσωσθον,σέσωσθον,σεσώμεθᾰ,σέσωσθε,σέσωνται,,,,
middle,subjunctive,σεσωμένος ὦ,σεσωμένος ᾖς,σεσωμένος ᾖ,σεσωμένω ἦτον,σεσωμένω ἦτον,σεσωμένοι ὦμεν,σεσωμένοι ἦτε,σεσωμένοι ὦσῐ,,,,
middle,optative,σεσωμένος εἴην,σεσωμένος εἴης,σεσωμένος εἴη,σεσωμένω εἴητον,σεσωμένω εἰήτην,σεσωμένοι εἴημεν,σεσωμένοι εἴητε,σεσωμένοι εἴησᾰν,,,,
middle,imperative,,σέσωσο,σεσώσθω,σέσωσθον,σεσώσθων,,σέσωσθε,σεσώσθων,,,,
,,,,,,middle,middle,middle,middle,,,,
infinitive,infinitive,,,,,σεσῶσθαι,σεσῶσθαι,σεσῶσθαι,σεσῶσθαι,,,,
participle,m,,,,,σεσωμένος,σεσωμένος,σεσωμένος,σεσωμένος,,,,
participle,f,,,,,σεσωμένη,σεσωμένη,σεσωμένη,σεσωμένη,,,,
participle,n,,,,,σεσωμένον,σεσωμένον,σεσωμένον,σεσωμένον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
