number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,σέσῳκᾰ,σέσῳκᾰς,σέσῳκε,σεσῴκᾰτον,σεσῴκᾰτον,σεσῴκᾰμεν,σεσῴκᾰτε,σεσῴκᾱσῐ,,,,
active,subjunctive,σεσῴκω,σεσῴκῃς,σεσῴκῃ,σεσῴκητον,σεσῴκητον,σεσῴκωμεν,σεσῴκητε,σεσῴκωσῐ,,,,
active,optative,σεσῴκοιμῐ,σεσῴκοις,σεσῴκοι,σεσῴκοιτον,σεσῳκοίτην,σεσῴκοιμεν,σεσῴκοιτε,σεσῴκοιεν,,,,
active,imperative,,σέσῳκε,σεσῳκέτω,σεσῴκετον,σεσῳκέτων,,σεσῴκετε,σεσῳκόντων,,,,
middle,indicative,σέσῳσμαι,σέσῳσαι,σέσῳσται,σέσῳσθον,σέσῳσθον,σεσῴσμεθᾰ,σέσῳσθε,σεσῴσᾰται,,,,
middle,subjunctive,σεσῳσμένος ὦ,σεσῳσμένος ᾖς,σεσῳσμένος ᾖ,σεσῳσμένω ἦτον,σεσῳσμένω ἦτον,σεσῳσμένοι ὦμεν,σεσῳσμένοι ἦτε,σεσῳσμένοι ὦσῐ,,,,
middle,optative,σεσῳσμένος εἴην,σεσῳσμένος εἴης,σεσῳσμένος εἴη,σεσῳσμένω εἴητον,σεσῳσμένω εἰήτην,σεσῳσμένοι εἴημεν,σεσῳσμένοι εἴητε,σεσῳσμένοι εἴησᾰν,,,,
middle,imperative,,σέσῳσο,σεσῴσθω,σέσῳσθον,σεσῴσθων,,σέσῳσθε,σεσῴσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,σεσῳκέναι,σεσῳκέναι,σεσῳκέναι,σεσῳκέναι,σεσῷσθαι,σεσῷσθαι,σεσῷσθαι,σεσῷσθαι,,,,
participle,m,σεσῳκώς,σεσῳκώς,σεσῳκώς,σεσῳκώς,σεσῳσμένος,σεσῳσμένος,σεσῳσμένος,σεσῳσμένος,,,,
participle,f,σεσῳκυῖᾰ,σεσῳκυῖᾰ,σεσῳκυῖᾰ,σεσῳκυῖᾰ,σεσῳσμένη,σεσῳσμένη,σεσῳσμένη,σεσῳσμένη,,,,
participle,n,σεσῳκός,σεσῳκός,σεσῳκός,σεσῳκός,σεσῳσμένον,σεσῳσμένον,σεσῳσμένον,σεσῳσμένον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
