number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,σῴζω,σῴζεις,σῴζει,σῴζετον,σῴζετον,σῴζομεν,σῴζετε,σῴζουσῐ,,,,
active,subjunctive,σῴζω,σῴζῃς,σῴζῃ,σῴζητον,σῴζητον,σῴζωμεν,σῴζητε,σῴζωσῐ,,,,
active,optative,σῴζοιμῐ,σῴζοις,σῴζοι,σῴζοιτον,σῳζοίτην,σῴζοιμεν,σῴζοιτε,σῴζοιεν,,,,
active,imperative,,σῷζε,σῳζέτω,σῴζετον,σῳζέτων,,σῴζετε,σῳζόντων,,,,
middle,indicative,σῴζομαι,σῴζῃ,σῴζεται,σῴζεσθον,σῴζεσθον,σῳζόμεθᾰ,σῴζεσθε,σῴζονται,,,,
middle,subjunctive,σῴζωμαι,σῴζῃ,σῴζηται,σῴζησθον,σῴζησθον,σῳζώμεθᾰ,σῴζησθε,σῴζωνται,,,,
middle,optative,σῳζοίμην,σῴζοιο,σῴζοιτο,σῴζοισθον,σῳζοίσθην,σῳζοίμεθᾰ,σῴζοισθε,σῴζοιντο,,,,
middle,imperative,,σῴζου,σῳζέσθω,σῴζεσθον,σῳζέσθων,,σῴζεσθε,σῳζέσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,σῴζειν,σῴζειν,σῴζειν,σῴζειν,σῴζεσθαι,σῴζεσθαι,σῴζεσθαι,σῴζεσθαι,,,,
participle,m,σῴζων,σῴζων,σῴζων,σῴζων,σῳζόμενος,σῳζόμενος,σῳζόμενος,σῳζόμενος,,,,
participle,f,σῴζουσᾰ,σῴζουσᾰ,σῴζουσᾰ,σῴζουσᾰ,σῳζομένη,σῳζομένη,σῳζομένη,σῳζομένη,,,,
participle,n,σῷζον,σῷζον,σῷζον,σῷζον,σῳζόμενον,σῳζόμενον,σῳζόμενον,σῳζόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
