number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,τῑμᾰ́ω,τῑμᾰ́εις,τῑμᾰ́ει,τῑμᾰ́ετον,τῑμᾰ́ετον,τῑμᾰ́ομεν,τῑμᾰ́ετε,τῑμᾰ́ουσῐ,,,,
active,subjunctive,τῑμᾰ́ω,τῑμᾰ́ῃς,τῑμᾰ́ῃ,τῑμᾰ́ητον,τῑμᾰ́ητον,τῑμᾰ́ωμεν,τῑμᾰ́ητε,τῑμᾰ́ωσῐ,,,,
active,optative,τῑμᾰ́οιμῐ,τῑμᾰ́οις,τῑμᾰ́οι,τῑμᾰ́οιτον,τῑμᾰοίτην,τῑμᾰ́οιμεν,τῑμᾰ́οιτε,τῑμᾰ́οιεν,,,,
active,imperative,,τῑ́μᾰε,τῑμᾰέτω,τῑμᾰ́ετον,τῑμᾰέτων,,τῑμᾰ́ετε,τῑμᾰόντων,,,,
middle,indicative,τῑμᾰ́ομαι,τῑμᾰ́ῃ,τῑμᾰ́εται,τῑμᾰ́εσθον,τῑμᾰ́εσθον,τῑμᾰόμεθᾰ,τῑμᾰ́εσθε,τῑμᾰ́ονται,,,,
middle,subjunctive,τῑμᾰ́ωμαι,τῑμᾰ́ῃ,τῑμᾰ́ηται,τῑμᾰ́ησθον,τῑμᾰ́ησθον,τῑμᾰώμεθᾰ,τῑμᾰ́ησθε,τῑμᾰ́ωνται,,,,
middle,optative,τῑμᾰοίμην,τῑμᾰ́οιο,τῑμᾰ́οιτο,τῑμᾰ́οισθον,τῑμᾰοίσθην,τῑμᾰοίμεθᾰ,τῑμᾰ́οισθε,τῑμᾰ́οιντο,,,,
middle,imperative,,τῑμᾰ́ου,τῑμᾰέσθω,τῑμᾰ́εσθον,τῑμᾰέσθων,,τῑμᾰ́εσθε,τῑμᾰέσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,τῑμᾰ́ειν,τῑμᾰ́ειν,τῑμᾰ́ειν,τῑμᾰ́ειν,τῑμᾰ́εσθαι,τῑμᾰ́εσθαι,τῑμᾰ́εσθαι,τῑμᾰ́εσθαι,,,,
participle,m,τῑμᾰ́ων,τῑμᾰ́ων,τῑμᾰ́ων,τῑμᾰ́ων,τῑμᾰόμενος,τῑμᾰόμενος,τῑμᾰόμενος,τῑμᾰόμενος,,,,
participle,f,τῑμᾰ́ουσᾰ,τῑμᾰ́ουσᾰ,τῑμᾰ́ουσᾰ,τῑμᾰ́ουσᾰ,τῑμᾰομένη,τῑμᾰομένη,τῑμᾰομένη,τῑμᾰομένη,,,,
participle,n,τῑμᾰ́ον,τῑμᾰ́ον,τῑμᾰ́ον,τῑμᾰ́ον,τῑμᾰόμενον,τῑμᾰόμενον,τῑμᾰόμενον,τῑμᾰόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
