number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,φθερέω,φθερέεις,φθερέει,φθερέετον,φθερέετον,φθερέομεν,φθερέετε,φθερέουσῐ,,,,
active,optative,φθερέοιμῐ,φθερέοις,φθερέοι,φθερέοιτον,φθερεοίτην,φθερέοιμεν,φθερέοιτε,φθερέοιεν,,,,
middle,indicative,φθερέομαι,φθερέῃ,φθερέεται,φθερέεσθον,φθερέεσθον,φθερεόμεθᾰ,φθερέεσθε,φθερέονται,,,,
middle,optative,φθερεοίμην,φθερέοιο,φθερέοιτο,φθερέοισθον,φθερεοίσθην,φθερεοίμεθᾰ,φθερέοισθε,φθερέοιντο,,,,
passive,indicative,φθᾰρήσομαι,φθᾰρήσῃ,φθᾰρήσεται,φθᾰρήσεσθον,φθᾰρήσεσθον,φθᾰρησόμεθᾰ,φθᾰρήσεσθε,φθᾰρήσονται,,,,
passive,optative,φθᾰρησοίμην,φθᾰρήσοιο,φθᾰρήσοιτο,φθᾰρήσοισθον,φθᾰρησοίσθην,φθᾰρησοίμεθᾰ,φθᾰρήσοισθε,φθᾰρήσοιντο,,,,
,,active,active,active,middle,middle,passive,passive,passive,,,,
infinitive,infinitive,φθερέειν,φθερέειν,φθερέειν,φθερέεσθαι,φθερέεσθαι,φθᾰρήσεσθαι,φθᾰρήσεσθαι,φθᾰρήσεσθαι,,,,
participle,m,φθερέων,φθερέων,φθερέων,φθερεόμενος,φθερεόμενος,φθᾰρησόμενος,φθᾰρησόμενος,φθᾰρησόμενος,,,,
participle,f,φθερέουσᾰ,φθερέουσᾰ,φθερέουσᾰ,φθερεομένη,φθερεομένη,φθᾰρησομένη,φθᾰρησομένη,φθᾰρησομένη,,,,
participle,n,φθερέον,φθερέον,φθερέον,φθερεόμενον,φθερεόμενον,φθᾰρησόμενον,φθᾰρησόμενον,φθᾰρησόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
gender,n,n,n,n,n,n,n,n,n,n,n,n,n
