number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,ἠγάπηκᾰ,ἠγάπηκᾰς,ἠγάπηκε,ἠγαπήκᾰτον,ἠγαπήκᾰτον,ἠγαπήκᾰμεν,ἠγαπήκᾰτε,ἠγαπήκᾱσῐ,,,,
active,subjunctive,ἠγαπήκω,ἠγαπήκῃς,ἠγαπήκῃ,ἠγαπήκητον,ἠγαπήκητον,ἠγαπήκωμεν,ἠγαπήκητε,ἠγαπήκωσῐ,,,,
active,optative,ἠγαπήκοιμῐ,ἠγαπήκοις,ἠγαπήκοι,ἠγαπήκοιτον,ἠγαπηκοίτην,ἠγαπήκοιμεν,ἠγαπήκοιτε,ἠγαπήκοιεν,,,,
active,imperative,,ἠγάπηκε,ἠγαπηκέτω,ἠγαπήκετον,ἠγαπηκέτων,,ἠγαπήκετε,ἠγαπηκόντων,,,,
,,active,active,active,active,,,,,,,,
infinitive,infinitive,ἠγαπηκέναι,ἠγαπηκέναι,ἠγαπηκέναι,ἠγαπηκέναι,,,,,,,,
participle,m,ἠγαπηκώς,ἠγαπηκώς,ἠγαπηκώς,ἠγαπηκώς,,,,,,,,
participle,f,ἠγαπηκυῖᾰ,ἠγαπηκυῖᾰ,ἠγαπηκυῖᾰ,ἠγαπηκυῖᾰ,,,,,,,,
participle,n,ἠγαπηκός,ἠγαπηκός,ἠγαπηκός,ἠγαπηκός,,,,,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
