number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,ἀγαπᾰ́ω,ἀγαπᾰ́εις,ἀγαπᾰ́ει,ἀγαπᾰ́ετον,ἀγαπᾰ́ετον,ἀγαπᾰ́ομεν,ἀγαπᾰ́ετε,ἀγαπᾰ́ουσῐ,,,,
active,subjunctive,ἀγαπᾰ́ω,ἀγαπᾰ́ῃς,ἀγαπᾰ́ῃ,ἀγαπᾰ́ητον,ἀγαπᾰ́ητον,ἀγαπᾰ́ωμεν,ἀγαπᾰ́ητε,ἀγαπᾰ́ωσῐ,,,,
active,optative,ἀγαπᾰ́οιμῐ,ἀγαπᾰ́οις,ἀγαπᾰ́οι,ἀγαπᾰ́οιτον,ἀγαπᾰοίτην,ἀγαπᾰ́οιμεν,ἀγαπᾰ́οιτε,ἀγαπᾰ́οιεν,,,,
active,imperative,,ἀγάπᾰε,ἀγαπᾰέτω,ἀγαπᾰ́ετον,ἀγαπᾰέτων,,ἀγαπᾰ́ετε,ἀγαπᾰόντων,,,,
middle,indicative,ἀγαπᾰ́ομαι,ἀγαπᾰ́ῃ,ἀγαπᾰ́εται,ἀγαπᾰ́εσθον,ἀγαπᾰ́εσθον,ἀγαπᾰόμεθᾰ,ἀγαπᾰ́εσθε,ἀγαπᾰ́ονται,,,,
middle,subjunctive,ἀγαπᾰ́ωμαι,ἀγαπᾰ́ῃ,ἀγαπᾰ́ηται,ἀγαπᾰ́ησθον,ἀγαπᾰ́ησθον,ἀγαπᾰώμεθᾰ,ἀγαπᾰ́ησθε,ἀγαπᾰ́ωνται,,,,
middle,optative,ἀγαπᾰοίμην,ἀγαπᾰ́οιο,ἀγαπᾰ́οιτο,ἀγαπᾰ́οισθον,ἀγαπᾰοίσθην,ἀγαπᾰοίμεθᾰ,ἀγαπᾰ́οισθε,ἀγαπᾰ́οιντο,,,,
middle,imperative,,ἀγαπᾰ́ου,ἀγαπᾰέσθω,ἀγαπᾰ́εσθον,ἀγαπᾰέσθων,,ἀγαπᾰ́εσθε,ἀγαπᾰέσθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,ἀγαπᾰ́ειν,ἀγαπᾰ́ειν,ἀγαπᾰ́ειν,ἀγαπᾰ́ειν,ἀγαπᾰ́εσθαι,ἀγαπᾰ́εσθαι,ἀγαπᾰ́εσθαι,ἀγαπᾰ́εσθαι,,,,
participle,m,ἀγαπᾰ́ων,ἀγαπᾰ́ων,ἀγαπᾰ́ων,ἀγαπᾰ́ων,ἀγαπᾰόμενος,ἀγαπᾰόμενος,ἀγαπᾰόμενος,ἀγαπᾰόμενος,,,,
participle,f,ἀγαπᾰ́ουσᾰ,ἀγαπᾰ́ουσᾰ,ἀγαπᾰ́ουσᾰ,ἀγαπᾰ́ουσᾰ,ἀγαπᾰομένη,ἀγαπᾰομένη,ἀγαπᾰομένη,ἀγαπᾰομένη,,,,
participle,n,ἀγαπᾰ́ον,ἀγαπᾰ́ον,ἀγαπᾰ́ον,ἀγαπᾰ́ον,ἀγαπᾰόμενον,ἀγαπᾰόμενον,ἀγαπᾰόμενον,ἀγαπᾰόμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
