number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
active,indicative,ἀγαπῶ,ἀγαπᾷς,ἀγαπᾷ,ἀγαπᾶτον,ἀγαπᾶτον,ἀγαπῶμεν,ἀγαπᾶτε,ἀγαπῶσῐ,,,,
active,subjunctive,ἀγαπῶ,ἀγαπᾷς,ἀγαπᾷ,ἀγαπᾶτον,ἀγαπᾶτον,ἀγαπῶμεν,ἀγαπᾶτε,ἀγαπῶσῐ,,,,
active,optative,ἀγαπῴην,ἀγαπῴης,ἀγαπῴη,ἀγαπῷτον,ἀγαπῴτην,ἀγαπῷμεν,ἀγαπῷτε,ἀγαπῷεν,,,,
active,imperative,,ἀγάπᾱ,ἀγαπᾱ́τω,ἀγαπᾶτον,ἀγαπᾱ́των,,ἀγαπᾶτε,ἀγαπώντων,,,,
middle,indicative,ἀγαπῶμαι,ἀγαπᾷ,ἀγαπᾶται,ἀγαπᾶσθον,ἀγαπᾶσθον,ἀγαπώμεθᾰ,ἀγαπᾶσθε,ἀγαπῶνται,,,,
middle,subjunctive,ἀγαπῶμαι,ἀγαπᾷ,ἀγαπᾶται,ἀγαπᾶσθον,ἀγαπᾶσθον,ἀγαπώμεθᾰ,ἀγαπᾶσθε,ἀγαπῶνται,,,,
middle,optative,ἀγαπῴμην,ἀγαπῷο,ἀγαπῷτο,ἀγαπῷσθον,ἀγαπῴσθην,ἀγαπῴμεθᾰ,ἀγαπῷσθε,ἀγαπῷντο,,,,
middle,imperative,,ἀγαπῶ,ἀγαπᾱ́σθω,ἀγαπᾶσθον,ἀγαπᾱ́σθων,,ἀγαπᾶσθε,ἀγαπᾱ́σθων,,,,
,,active,active,active,active,middle,middle,middle,middle,,,,
infinitive,infinitive,ἀγαπᾶν,ἀγαπᾶν,ἀγαπᾶν,ἀγαπᾶν,ἀγαπᾶσθαι,ἀγαπᾶσθαι,ἀγαπᾶσθαι,ἀγαπᾶσθαι,,,,
participle,m,ἀγαπῶν,ἀγαπῶν,ἀγαπῶν,ἀγαπῶν,ἀγαπώμενος,ἀγαπώμενος,ἀγαπώμενος,ἀγαπώμενος,,,,
participle,f,ἀγαπῶσᾰ,ἀγαπῶσᾰ,ἀγαπῶσᾰ,ἀγαπῶσᾰ,ἀγαπωμένη,ἀγαπωμένη,ἀγαπωμένη,ἀγαπωμένη,,,,
participle,n,ἀγαπῶν,ἀγαπῶν,ἀγαπῶν,ἀγαπῶν,ἀγαπώμενον,ἀγαπώμενον,ἀγαπώμενον,ἀγαπώμενον,,,,
notes:,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic,this table gives attic inflectional endings. for conjugation in dialects other than attic
