number,number,singular,singular,singular,dual,dual,plural,plural,plural,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,first,second,third,second,third,first,second,third,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
middle,indicative,ἀπηχθόμην,ἀπήχθεο,ἀπήχθετο,ἀπήχθεσθον,ἀπηχθέσθην,ἀπηχθόμε θᾰ,ἀπήχθεσθε,ἀπήχθοντο,,,,
middle,subjunctive,ἀπέχθωμαι,ἀπέχθηαι,ἀπέχθηται,ἀπέχθησθον,ἀπέχθησθον,ἀπεχθώμε θᾰ,ἀπέχθησθε,ἀπέχθωνται,,,,
middle,optative,ἀπεχθοίμην,ἀπέχθοιο,ἀπέχθοιτο,ἀπέχθοισθον,ἀπεχθοίσθην,ἀπεχθοίμε θᾰ,ἀπέχθοισθε,ἀπεχθοίᾰτο,,,,
middle,imperative,,ἀπέχθεο,ἀπεχθέσθω,ἀπέχθεσθον,ἀπεχθέσθων,,ἀπέχθεσθε,ἀπεχθέσθων,,,,
,,,,,middle,middle,,,,,,,
infinitive,infinitive,,,,ἀπεχθέσθαι,ἀπεχθέσθαι,,,,,,,
participle,m,,,,ἀπεχθόμενος,ἀπεχθόμενος,,,,,,,
participle,f,,,,ἀπεχθομένη,ἀπεχθομένη,,,,,,,
participle,n,,,,ἀπεχθόμενον,ἀπεχθόμενον,,,,,,,
notes:,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details,dialects other than attic are not well attested. some forms are based on conjecture. use with caution. for more details
