,Section ID,Text Section,Title,Author,Translated Text
1345,Data/tlg2034tlg0151st1K-grc1_clean.xml1-0-0-0-6-2-5,"
			27 † L. f 336ᵇ ad 0 680 (v. ad p. 281,16): . . .
                                ἄλλως. ἀντὶ τοῦ ἐκ πολλὼν τοὺς ἐπιτηδείους οἶον ἀρίστους καὶ
                                ἰσοταχεῖς συναγάγῃ ἐκλεξάμενος. BLp ibid.:
		",Zetemata codicis Vaticani,Porphyry,None
1349,Data/tlg2034tlg0151st1K-grc1_clean.xml1-0-0-0-6-2-15,"
			ἀντὶ τοῦ ἐκ πολλ ῶν τοὺς ἐπιτηδείους καὶ ⟨om. Lp⟩
                                οἶον ἀρίστους καὶ ἰσοταχεῖς συναγαγὼ ⟨συναγάγῃ Β ⟩ ἐκλεξάμ ενο . κ
                                ίνδυνος γὰρ ἐκπεσεῖν μεθαλλομένῳ ἀπὸ ἄλλου εἰς ἄλλον. ο δὲ κτλ. (v.
                                ad p 281,16). Simil. Vict. f. 292a (l. (πίσυρας συναγείρεται ), nisi
                                quod primum quidem συζεύξει , σὺ ν δ᾿ ἤει ρεν ἱμ ᾶ σι ν, tum οἱ δὲ
                                συναγείρεται, ἀντὶ τοῦ ἐκ πολλῶν ἀπ ὸ ἄλλου εἰς ἄλλον habet. ln
                                quibus, ut etiam in schol. Lp, Porphyriana cum rebus aliunde petitis
                                (cf. Eust. p. 1037, 53 ) mixta sunt.
		",Zetemata codicis Vaticani,Porphyry,None
8913,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-1815-1,"
			 1818 Ἀναγάϲτηϲ: ὄνομα κύριον. ζήτει ἐν τῷ ὑποϲτάϲ.
		",Suidae lexicon,Suda,None
10661,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-2488-1,"
			 2492 Ἀνθέμων: ῥόδων. Ἀριϲτοφάνηϲ· πῶϲ ἂν ἐμὲ καὶ ϲέ τιϲ ἔρωϲ
                                ξυναγάγοι λαβὼν, ὥϲπερ ὁ γεγραμμένοϲ φηϲί. καὶ αὖθιϲ· ἔχων ϲτέφανον
                                ἀνθέμων. τουτέϲτι ῥόδων. Ζεῦξιϲ ὁ ζωγράφοϲ ἐν τῷ ναῷ τῆϲ Ἀλφροδίτηϲ
                                ἔγραψεν Ἔρωτα ὡραιότατον, ἐϲτεμμένον ῥόδοιϲ. 
		",Suidae lexicon,Suda,None
10669,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-2490-5,"
			 3 καί A om. l 4 Ἀνίϲχαδον] Ἀνίϲχαλον Et. et v.
                                ϲχαλίϲαι 5 ἀνατέλ λων] ἀναϲτέλλων A 2485 om. TFS post l. 2486 I 11
                                Ἀνθέμιοϲ] Ἀνθέμιϲ A 2488 ex l 14 ἀναθεματικόν om. TS, Σ 19 καί — 21
                                ἰέναι om. TP mg. A 20 ὡϲ] καί A Αὔγαροϲ G SM Ἄγβαροϲ AIM ΥΡ cf. ν.
                                ὑφηγήϲονται 23 ξυναγάγοι AF ξυναγάγῃ rell. cf. Ar. 28 ὡρῶν] ὁρῶν S
                                Βa
		",Suidae lexicon,Suda,None
11043,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-2650-3,"
			2643 Z 218 2644 cf. 2501, hinc τινέϲ sq 2646 ex
                                3155 cf. v. ἔπηλιϲ 2648 Soph. hinc v. πλαγάϲ 2652 Z 2181; Anth. cf.
                                v. γριπεύϲ 2653 hinc 269
		",Suidae lexicon,Suda,None
11045,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-2650-5,"
			 3 Ἑλλάδα] καὶ ἀντὶ τοῦ ἀντιμαχόμενοϲ ταῖϲ
                                ἐπιθυμίαιϲ ἀντέχων add. AF cf vs. 1 et Zon. 218 καί—4
                                ἀντιλαμβανόμενοϲ om. S 4 ἀντιλαμβανόμενοϲ A F ὁ ἀ. GI TM ἀντέχομαι
                                —5 γενικῇ om. TFS, mg. ad 2641 A,post 2641 M, pos p. 233.28 δοτικῇ l
                                δὲ τὸ ἀντιλαμβάνομαι om. M 2644 om. T 8 ἑταίρα. —γράφουϲιν om. P
                                τινέϲ — γράφουϲιν om. I8 2646 om. TFS mg A. 14 ἴϲαϲ] ἴϲα A F 18
                                πλαγάϲ] πληγάϲ TFS ἀντῆριϲ GIT ἀντήρειϲ rel cf. Ambr. 2010 — 11 2652
                                ═ 2670 om.
		",Suidae lexicon,Suda,None
15736,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-4449-1,"
			4457 Αὖραν: πνοήν. ὁ δὲ Χαγάνοϲ τοὺϲ ὅρκουϲ ταῖϲ αὔραιϲ 
		",Suidae lexicon,Suda,None
15741,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-0-1-4450-1-2,"
			4451 Z 344 4456 cf. 2352; Z 345 4457 hinc v.
                                    Χαγάνοϲ 2458 cf. v. ἐζημίωϲεν et v. αἱρετόν; Z 340
		",Suidae lexicon,Suda,None
22339,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-1-0-1271-0,"
			1301 Δίχηλα ζῷα: βοῦϲ, ἔλαφοϲ, δόρκων, οἷϲ ϲυμβέβηκεν ἐν τοῖϲ
                                ὀπιϲθίοιϲ ποϲὶν ἀϲτραγάλουϲ ἔχειν.
		",Suidae lexicon,Suda,None
24556,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-1-2-134-0,"
			134 Ἐγκύκλιοϲ: ἡ ἐτήϲιοϲ τῶν χρημάτων δόϲιϲ. τοῦ δὲ Χαγάνου 
		",Suidae lexicon,Suda,None
27088,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-1-2-1236-0,"
			1229 Ἐνεκότει· δοτικῇ ἐμνηϲικάκει, ὠργίζετο. ὁ οὖν Χαγάνοϲ ἐνεκότει
                                    
		",Suidae lexicon,Suda,None
28633,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-1-2-1921-1,"
			 1913 Ἑπαγάλλομαι· δοτικῇ.
		",Suidae lexicon,Suda,None
28710,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-1-2-1949-1,"
			 1941 Ἐπαλλάξειϲ: ἀντὶ τοῦ ϲυναλλαγάϲ, ἢ μίξειϲ. Ἀντιφῶν.
		",Suidae lexicon,Suda,None
