Number,Unnamed: 1,Singular,Singular.1,Unnamed: 4,Dual,Dual.1,Unnamed: 7,Plural,Plural.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
case,,masculine,neuter,,masculine,neuter,,masculine,neuter,,,,,
nominative,,ἀᾱγής,ἀᾱγές,,ἀᾱγεῖ,ἀᾱγεῖ,,ἀᾱγεῖς,ἀᾱγέᾰ,,,,,
genitive,,ἀᾱγέος,ἀᾱγέος,,ἀᾱγοῖν,ἀᾱγοῖν,,ἀᾱγέων,ἀᾱγέων,,,,,
dative,,ἀᾱγεῖ,ἀᾱγεῖ,,ἀᾱγοῖν,ἀᾱγοῖν,,ἀᾱγέσῐ,ἀᾱγέσῐ,,,,,
accusative,,ἀᾱγέᾰ,ἀᾱγές,,ἀᾱγεῖ,ἀᾱγεῖ,,ἀᾱγέᾰς,ἀᾱγέᾰ,,,,,
vocative,,ἀᾱγές,ἀᾱγές,,ἀᾱγεῖ,ἀᾱγεῖ,,ἀᾱγεῖς,ἀᾱγέᾰ,,,,,
derived forms,,adverb,adverb,,comparative,comparative,,superlative,superlative,,,,,
derived forms,,ἀᾱγέως,ἀᾱγέως,,ἀᾱγέστερος,ἀᾱγέστερος,,ἀᾱγέστᾰτος,ἀᾱγέστᾰτος,,,,,
notes:,,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.,dialects other than attic are not well attested. some forms may be based on conjecture. use with caution.
gender,m,m,m,m,m,m,m,m,m,m,m,m,m,m
