	FPP	English	Sentiment
0	αᾱᾱτος	not to be injured, inviolable	NULL
1	αᾱγες	unbroken, not to be broken, hard, strong	NULL
2	ααπτος	not to be touched, resistless, invincible	NULL
3	ατ	insatiate	NULL
4	αβακα	speechless, infantine	NULL
5	αβακχευτος	uninitiated in the Bacchic orgies	NULL
6	αβαρη	without weight: not burdensome	NULL
7	αβασανιστος	not examined by torture, untortured	NULL
8	αβασιλευτος	not ruled by a king	NULL
9	αβασκαντος	not subject to enchantment	NULL
10	αβαστακτω	not to be carried	NULL
11	ᾰβᾰτος	untrodden, impassable, inaccessible	NULL
12	αβδηριτικος	like an Abderite	NULL
13	αβεβαιος	uncertain, unsteady	NULL
14	αβεβηλος	not profane, inviolable	NULL
15	αβελτερος	good for nothing, silly, stupid, fatuous	NULL
16	αβιαστος	unforced, without violence	NULL
17	αβιος	without a living, starving	NULL
18	αβιωτος	not to be lived, insupportable	NULL
19	αβλαβη	without harm	NULL
20	αβλεφᾰρος	without eye-lids	NULL
21	αβλητος	not hit	NULL
22	αβληχης	without bleatings	NULL
23	αβληχρ	weak, feeble	NULL
24	αβληχρωδης		NULL
25	αβοηθητος	helpless	NULL
26	αβοητος	not loudly lamented	NULL
27	αβοσκητος	ungrazed	NULL
28	αβουκολητος	untended by herdsmen	NULL
29	αβουλος	inconsiderate, ill-advised	NULL
30	αβριθες	of no weight	NULL
31	αβροβιος	living delicately, effeminate	NULL
32	αβρογοος	wailing womanishly	NULL
33	αβροδιαιτος	living delicately	NULL
34	αβρομιος	without Bacchus	NULL
35	αβρομος	very noisy, boisterous	NULL
36	αβροπεδῑλος	with soft sandals	NULL
37	αβροπηνος	of delicate texture	NULL
38	αβροπλουτος	richly luxuriant	NULL
39	αβρος	delicate, graceful, beauteous, pretty	NULL
40	αβροτῑμος	delicate and costly	NULL
41	αβροτος	immortal, divine, holy	NULL
42	αβροχω	unwetted, unmoistened	NULL
43	αβυσσος	with no bottom, bottomless, unfathomed	NULL
44	αγαθοειδη	seeming good	NULL
45	αγαθοεργος	doing good	NULL
46	αγαθοποιος	doing good, beneficent	NULL
47	ωγαθ	good	NULL
48	αγακλεης	very glorious, famous	NULL
49	αγακλειτος		NULL
50	αγακλυτος		NULL
51	αγαλακτος	without milk, getting no milk	NULL
52	ᾰγᾰμεμνονιος	of	NULL
53	αγαμω	unmarried, unwedded, single	NULL
54	αγᾰνακτικος	irritable	NULL
55	αγᾰνακτητος	irritating	NULL
56	αγαννῐφος	much snowed on, snow-capt	NULL
57	αγᾰνοβλεφαρος	mild-eyed	NULL
58	αγανω	mild, gentle, kindly	NULL
59	ᾰγᾰνοφρων	gentle of mood	NULL
60	αγαπητεος	to be loved, desired	NULL
61	αγαπητικος	affectionate	NULL
62	αγαπαθ	beloved	NULL
63	αγαρροος	strong-flowing, swift-flowing	NULL
64	αγαστονος	much groaning, howling	NULL
65	ωγαθ	deserving admiration	NULL
66	ᾰγαυος	illustrious, noble	NULL
67	αγαυρος	stately, proud	NULL
68	αγειτων	without neighbour, neighbourless	NULL
69	αγελαιος	belonging to a herd, feeding at large	NULL
70	αγελαστος	not laughing, grave, gloomy, sullen	NULL
71	αγενεᾱλογητος	of unrecorded descent	NULL
72	ᾰγενειος	beardless	NULL
73	αγενητος	unborn, uncreated, unoriginated	NULL
74	αγεννη	of no family, low-born	NULL
75	αγεννητος	unbegotten, unborn	NULL
76	αγεραστος	without a gift of honour, unrecompensed, unrewarded	NULL
77	ᾰγερωχος	high-minded, lordly	NULL
78	αγευστος	without taste of, fasting from	NULL
79	αγηνορειος	manly, courageous, heroic	NULL
80	ᾰγηρᾰος	not waxing old, undecaying	NULL
81	αγησιχορος	leading the chorus	NULL
82	αγηθ	admirable, wondrous	NULL
83	αγι	devoted to the gods, sacred, holy	NULL
84	αγκιστροδετος	with a hook	NULL
85	αγκῠλοδους	crook-toothed: barbed	NULL
86	αγκυλω	crooked, curved	NULL
87	αγκῠλοτοξος	with curved bow	NULL
88	αγκυλωτος	furnished with a thong	NULL
89	αγλαεθειρος	bright-haired	NULL
90	αγλαογυιος	with beauteous limbs	NULL
91	αγλαοδενδρος	with beautiful trees	NULL
92	αγλαοδωρ	giving splendid gifts	NULL
93	αγλαοθῡμος	noble-hearted	NULL
94	αγλαοκαρπος	bearing beautiful	NULL
95	αγλαομορφος	of beauteous form	NULL
96	αγλα	splendid, shining, bright, beautiful	NULL
97	αγλωσσος	without tongue	NULL
98	ᾰκναμπτος	unbending, inflexible	NULL
99	αγνᾰφος	uncarded	NULL
100	αγνιστεος	to be purified	NULL
101	αγνορῠτος	pure-flowing	NULL
102	αγνω	full of religious awe	NULL
103	αγνωμον	ill-judging, senseless	NULL
104	αγνωτ	unknown	NULL
105	αγονος	unborn	NULL
106	αγοος	unmourned	NULL
107	αγοραιος	in, of	NULL
