	FPP	English	Sentiment
0	ατως	insatiate	NULL
1	αβασανιστως	not examined by torture, untortured	NULL
2	αβιωτως	not to be lived, insupportable	NULL
3	αβλαβως	without harm	NULL
4	αβοητι	without summons	NULL
5	αβουλως	inconsiderate, ill-advised	NULL
6	αβρως	delicate, graceful, beauteous, pretty	NULL
7	αβυδοθεν	from Abydos	NULL
8	αβυδοθι	at Abydos	NULL
9	αγαθως	good	NULL
10	αγακλεως	very glorious, famous	NULL
11	αγᾰμενως	with admiration, respect	NULL
12	αγανως	mild, gentle, kindly	NULL
13	ᾰγαν	very, much, very much	NULL
14	αγαπητως	beloved	NULL
15	αγαπωντως		NULL
16	αγαστως	deserving admiration	NULL
17	αγαυρως	stately, proud	NULL
18	αγελαστι	without laughter	NULL
19	αγεληδον	in herds	NULL
20	αγεννως	of no family, low-born	NULL
21	αγ	come! come on! well!	NULL
22	αγερωχως	high-minded, lordly	NULL
23	αγηρως	not waxing old, undecaying	NULL
24	αγιως	devoted to the gods, sacred, holy	NULL
25	αγκᾰθεν	in the arms	NULL
26	αγκας	in	NULL
27	αγλαως	splendid, shining, bright, beautiful	NULL
28	αγνως	full of religious awe	NULL
29	αγνωμονως	ill-judging, senseless	NULL
30	αγνωστως	unknown	NULL
31	αγορηθεν	from the Assembly	NULL
32	αγορηνδ	to the Assembly	NULL
33	αγορηφι	in the Assembly	NULL
34	αγριως	living in the fields	NULL
35	αγροθεν	from the country	NULL
36	αγροικως	of	NULL
37	αγρονδ	to the country	NULL
38	αγυμναστως	unexercised, untrained	NULL
39	αγχινως	ready of wit, sagacious, shrewd	NULL
40	αγχ	near, nigh, close by	NULL
41	αγχοθεν	from nigh at hand	NULL
42	αγχοθι	near	NULL
43	αγχοτατω	nearest, next	NULL
44	αγχου	near, nigh	NULL
45	αγχωμαλως	nearly equal	NULL
46	αδακρῡτι	without tears	NULL
47	αδαμαντινως	adamantine	NULL
48	αδαπανως	without expense, costing nothing	NULL
49	αδεως	without fear, fearless	NULL
50	αδειμαντως	fearless, dauntless	NULL
51	αδερκτως	not seeing	NULL
52	αδεσποτως	without master	NULL
53	αδηκτως	unbitten, not gnawed	NULL
54	αδηλως	not seen	NULL
55	ᾱδην	satio	NULL
56	αδηριτως	without strife	NULL
57	αδιακριτως	undecided	NULL
58	αδιαλειπτως	unintermitting, incessant	NULL
59	αδιαλυτως	undissolved, indissoluble	NULL
60	αδιαφθορως	uncorrupted	NULL
61	αδικως	wrong-doing, unrighteous, unjust	NULL
62	αδινως	close-packed	NULL
63	αδιστακτως	not doubted	NULL
64	αδοκητως	unexpected	NULL
65	αδολως	without fraud, guileless	NULL
66	αδοξως	inglorious, disreputable	NULL
67	αδροτερως	thick	NULL
68	αδυνατως	unable	NULL
69	αδωροδοκητως		NULL
70	αεικως	unseemly, shameful	NULL
71	αειμνηστως	ever to be remembered	NULL
72	αε	always, for ever	NULL
73	αεκητῐ	against one's will	NULL
74	ακουσιως	against one's will, involuntary	NULL
75	ακοντως	against one's will, unwilling	NULL
76	αελπτως	unexpectedly	NULL
77	αεναως	ever-flowing	NULL
78	αεργως	not-working, idle	NULL
79	αερδην	lifting up	NULL
80	αζημιως	free from further payment: without loss, scot-free	NULL
81	αηδως	unpleasant to the taste, distasteful	NULL
82	αηθως	unwonted, unusual	NULL
83	αθανατως	undying, immortal	NULL
84	αθεει	without the aid of God	NULL
85	αθεμιτως	lawless, without law	NULL
86	αθεως	without God, denying the gods	NULL
87	αθεσμως		NULL
88	αθετως	set aside	NULL
89	αθηναζ	to Athens	NULL
90	αθηνοθεν	from Athens	NULL
91	αθηνησιν	at Athens	NULL
92	αθλιως	gaining the prize	NULL
93	αθορυβως	without uproar	NULL
94	αθρως	in crowds	NULL
95	αθυμως	without heart, fainthearted	NULL
96	αιανως	dreary, dismal, direful, horrid	NULL
97	αιγεως	a goat's skin	NULL
98	αιγυπτιστι	in the Egyptian tongue	NULL
99	αιγυπτονδ	the river Nile	NULL
100	αιδηλως	making unseen, annihilating, destroying	NULL
101	αιδημονως	bashful, modest	NULL
102	αιδοιως	regarded with reverence, august, venerable	NULL
103	αικως		NULL
104	αικως		NULL
105	αιμοβορως	blood-sucking, greedy of blood	NULL
106	αινιγματωδως	riddling, dark	NULL
107	αινικτηριως	in riddles	NULL
108	αινοθεν	from horror to horror, right horribly	NULL
109	αινως	dread, dire, grim	NULL
110	αιολικως	of	NULL
111	αιολωτερον	quick-moving	NULL
112	αιρετωτερον	that may be taken	NULL
113	αισθητικως	of	NULL
114	αισθητως	perceptible by the senses	NULL
115	αισιως	boding well, auspicious	NULL
116	αιστως	not to be seen, unseen	NULL
117	αισχροκερδως	sordidly greedy of gain	NULL
118	αισχρως	causing shame, abusive	NULL
119	αισχυντηλως	bashful, modest	NULL
120	αιτητικως	fond of asking	NULL
121	αιτιωτερον	to blame, blameworthy, culpable	NULL
122	αιφνιδιως	unforeseen, sudden	NULL
123	αιψ	quick, with speed, on a sudden	NULL
124	αιψηρως	quick, speedy, in haste	NULL
125	ακαθαρτως	uncleansed, unclean, impure	NULL
126	ακαιρως	ill-timed, unseasonable, inopportune	NULL
127	ακακως	unknowing of ill, guileless	NULL
128	κακ	softly, gently	NULL
129	ακαρως	too short to be cut, very short	NULL
130	ακαρπως	without fruit, barren	NULL
131	ακαταγνωστως	not to be condemned	NULL
132	ακαταλλακτως	irreconcileable	NULL
133	ακαταστατως	unstable, unsettled	NULL
134	ακατασχετως	not to be checked	NULL
135	ακεραιως	unmixed, pure in blood	NULL
136	ακερδως	without gain, bringing loss	NULL
137	ακηδεστως	uncared for, unburied	NULL
138	κακ	softly, silently	NULL
139	ακηρυκτι	without needing a flag of truce	NULL
140	ακηρυκτως	unannounced, unproclaimed	NULL
141	ακιβδηλως	unadulterated, genuine	NULL
142	ακιδνοτερον	weak, feeble, faint	NULL
143	ακινδυνως	without danger, free from danger	NULL
144	ακινητως	unmoved, motionless	NULL
145	ακιρως		NULL
146	ακιχητως	not to be reached, unattainable	NULL
147	ακλεως	without fame, inglorious, unsung	NULL
148	ακλειως		NULL
149	ακλεως		NULL
150	ακμαιως	in full bloom, at the prime, blooming, vigorous	NULL
151	ακμην	a point, edge	NULL
152	ακοινωνητως	not shared with	NULL
153	ακολαστως	licentious, intemperate	NULL
154	ακολουθως	following, attending on	NULL
155	ακονῑτι	without the dust of the arena	NULL
156	ακοντ		NULL
157	ακοπωτερον	without weariness	NULL
158	ακοσμητως	unarranged, unorganised	NULL
159	ακοσμως	without order, disorderly	NULL
160	ακραιφνεστερον	unmixed, pure	NULL
161	κατακρας	a headland, foreland, cape	NULL
162	ακρατως	powerless, impotent	NULL
163	ακρατως	unmixed, sheer	NULL
164	ακρατως		NULL
165	ακρατως		NULL
166	ακριβως	exact, accurate, precise, made	NULL
167	ακριβως		NULL
168	ακριτως	undistinguishable, unarranged, disorderly	NULL
169	ακροθιγως	touching on the surface, touching the lips	NULL
170	ακρονῠχι	with the tip of the nail	NULL
171	ακροποδητι	on tiptoe	NULL
172	ακρως	at the furthest point	NULL
173	ακτῑνηδον	like a ray	NULL
174	ακυρως	without authority	NULL
175	ακωλυτως	unhindered	NULL
176	αλαδ	to	NULL
177	αλαζονικωτερον	boastful, braggart	NULL
178	αλγεινως	giving pain, painful, grievous	NULL
179	αληθως	unconcealed, true	NULL
180	αληθινως	agreeable to truth	NULL
181	αλως	assembled, thronged, in a mass, all at once	NULL
182	αλικαρνασσοθεν	from Halicarnassus	NULL
183	αλιως	of the sea	NULL
184	αλιως	fruitless, unprofitable, vain, idle	NULL
185	ᾰλις	in heaps, crowds, swarms, in abundance, in plenty	NULL
186	αλκιμωτερον	strong, stout	NULL
187	αλλ	otherwise, but	NULL
188	αλλαχη	elsewhere, in another place	NULL
189	αλλαχοθεν	from another place	NULL
190	αλλαχοθι	elsewhere	NULL
191	αλλαχοσε	elsewhither, to another place	NULL
192	αλλαχου	elsewhere	NULL
193	αληκτως	unceasing, ceaseless	NULL
194	αλλη	in another place, elsewhere	NULL
195	αλλοθεν	from another place	NULL
196	αλλοθ	elsewhere, in another place, in a strange	NULL
197	αλλοιως	of another sort	NULL
198	αλλοκ	to another place, elsewhither	NULL
199	αλλοτ	at another time, at other times	NULL
200	αλλοτριως	of	NULL
201	αλλου		NULL
202	αλλοχρως	changed in colour	NULL
203	αλλῠδις	elsewhither	NULL
204	αλλως	in another way	NULL
205	αλογιστως	unreasoning, inconsiderate, thoughtless, heedless	NULL
206	αλογως	without	NULL
207	αλοθεν	from the sea	NULL
208	αλυπητως	not pained	NULL
209	αλυπως	without pain	NULL
210	αλυσιτελως	unprofitable	NULL
211	αλυτως	not to be loosed, indissoluble	NULL
212	αλωπεκεως	of a fox	NULL
213	μαθως	unlearned, ignorant, stupid, boorish	NULL
214	αμ	at once, at the same time	NULL
215	αμαρτη	together, at once	NULL
216	αμαρτυρως	without witness, unattested	NULL
217	αμαρτωλοτερον	sinful	NULL
218	αμαυρως	dimly seen, dim, faint, baffling sight	NULL
219	αμαχι	without resistance	NULL
220	αμᾰχητι	without battle	NULL
221	αμαχωτερον	without battle	NULL
222	αμβληδην	with sudden bursts	NULL
223	αμβλεως	blunt, dulled, with the edge taken off	NULL
224	αμβολᾰδαν	bubbling up	NULL
225	αμειλικτως	unsoftened, cruel	NULL
226	αμεινονως	better, abler, stronger, braver	NULL
227	αμελει	never mind	NULL
228	αμελετητως	unpractised	NULL
229	αμελως	careless, heedless, negligent	NULL
230	αμελλητως	not to be put off	NULL
231	αμεμπτως	not to be blamed, blameless	NULL
232	αμετακινητως	immovable	NULL
233	αμεταστρεπτῑ	without turning, straight forward	NULL
234	αμεταστροφωτερον	unalterable	NULL
235	αμετρητως	unmeasured, immeasurable, immense	NULL
236	αμετρως	without measure, immense, excessive, boundless	NULL
237	αμηνιτως	not angry	NULL
238	αμη	in a certain way	NULL
239	αμηχανως	without means	NULL
240	αμικτως	unmingled, that will not mingle	NULL
241	αμιμητως	inimitable	NULL
242	αμισθι	without reward	NULL
243	αμνημονως	unmindful, forgetful	NULL
244	αμογητι	without toil	NULL
245	αμοθι	without quarrel	NULL
246	αμοθεν	from some place or other, from what source soever	NULL
247	αμοιβᾰδις	by turns, alternately	NULL
248	αμοιβηδις	alternately, in succession	NULL
249	αμως	our, ours	NULL
250	αμη	as, when	NULL
251	μη	somewhere or other	NULL
252	αμουσως	without the Muses, without taste, unrefined, inelegant, rude, gross	NULL
253	αμοχθι	without effort	NULL
254	αμοχθως	free from toil and trouble	NULL
255	αμῠδις	together, at the same time	NULL
256	αμυδρως	indistinct, dim, obscure	NULL
257	αμυκλαθεν	from Amyclae	NULL
258	αμυστι	without closing the mouth	NULL
259	αμφαδα	publicly, openly, without disguise	NULL
260	αμφανδον		NULL
261	αμφιβολως	put round, encompassing	NULL
262	αμφιδεξιως	with two right hands, very dextrous	NULL
263	αμφιλεκτως	discussed on all hands, doubtful	NULL
264	αμφιλογως	disputed, disputable	NULL
265	αμφιπεριπλεγδην	twined round	NULL
266	αμφις	on	NULL
267	αμφοτερη	in both ways	NULL
268	αμφοτερως	each	NULL
269	αμφοτερωθεν	from	NULL
270	αμφοτερωθι	on both sides	NULL
271	αμφοτερωσε	to both sides	NULL
272	αμφοτερως	in both ways	NULL
273	αμφουδις	off	NULL
274	αμωμητως	unblamed, blameless	NULL
275	αμως	in some way or other	NULL
276	αναβαδην	going up, mounting	NULL
277	αναγκαιως	with	NULL
278	αναγκαστως	forced, constrained	NULL
279	αναιδως	shameless	NULL
280	αναιμοτερον	without blood, bloodless	NULL
281	αναιμωτι	without shedding blood	NULL
282	αναισθητως	insensate, unfeeling	NULL
283	αναισχυντως	shameless, impudent	NULL
284	αναιτιως	not being the cause	NULL
285	ανακως	a manager	NULL
286	αναλγητως	without pain	NULL
287	αναλογως	proportionate	NULL
288	αναμαρτητως	without missing, unfailing, unerring	NULL
289	αμμῐγα	promiscuously	NULL
290	αναμιξ	promiscuously	NULL
291	αναμφιλογως	undisputed, undoubted	NULL
292	αναμφισβητητως	undisputed, indisputable	NULL
293	ανανδρως	husbandless	NULL
294	αναντα	up-hill	NULL
295	αναντιλεκτως	incontestable	NULL
296	αναξιως	unworthy, not deemed	NULL
297	αναπᾰλιν	back again	NULL
298	αναπλεως	quite full of	NULL
299	αναρμοστως	unsuitable, incongruous, disproportionate	NULL
300	αναστᾰδον	standing up, upright	NULL
301	αναστατως	made to rise up and depart, driven from one's home	NULL
302	ανᾱτι	without harm, with impunity	NULL
303	αναυδως	speechless, silent	NULL
304	αναφανδα	visibly, openly	NULL
305	τανδιχ	asunder, in twain	NULL
306	ανδρᾰκας	man by man	NULL
307	ανδραποδωδως	slavish, servile, abject	NULL
308	ανδρειως	of	NULL
309	ανδρικως	of	NULL
310	ανδριστι	like a man, like men	NULL
311	ανδροθεν	from a man	NULL
312	ανδρωδως	like a man, manly	NULL
313	ανεγκλητως	not accused, without reproach, void of offence	NULL
314	ανεδην	let loose, freely, without restraint	NULL
315	ανεκαθεν	from above	NULL
316	ᾰνεκας	upwards	NULL
317	ανεκπληκτως	undaunted, intrepid	NULL
318	ανεκτως	bearable, sufferable, tolerable	NULL
319	ανελεημονως	merciless, without mercy	NULL
320	ανελευθερως	not fit for a free man	NULL
321	ανελπιστως	unhoped for, unlooked for	NULL
322	ανεμεσητως	free from blame, without offence	NULL
323	ανεμποδιστως	unembarrassed	NULL
324	ανενδοιαστως	indubitable	NULL
325	ανεξελεγκτως	unquestioned, impossible to be questioned	NULL
326	ανεπαχθως	not burdensome, without offence	NULL
327	ανεπιεικεστερον	unreasonable, unfair	NULL
328	ανεπικλητως	unaccused, unblamed	NULL
329	ανεπιληπτως	not open to attack, not censured, blameless	NULL
330	ανεπισκεπτως	inattentive, inconsiderate	NULL
331	ανεπιστημονως	not knowing, ignorant, unskilful	NULL
332	ανεπιτακτως	subject to no control	NULL
333	ανεπιτηδειως	unserviceable, unfit	NULL
334	ανεπιφθονως	without reproach	NULL
335	ανεω	to cry	NULL
336	ανηκεστως	not to be healed, incurable, irreparable, fatal	NULL
337	ανηλεως	without pity, unmerciful:—	NULL
338	ανημερως	not tame, wild, savage	NULL
339	ανηνυτως	endless	NULL
340	ανθηρως	flowering, blooming	NULL
341	ανθρωπειως	of	NULL
342	ανθρωπικωτερον	of	NULL
343	ανθρωπινως	of, from	NULL
