	FPP	English	Sentiment
0	αβδηριτης	a man of Abdera	NULL
1	αβελτερια	silliness, stupidity, fatuity	NULL
2	αβιοι	without a living, starving	NULL
3	αβλαβια	freedom from harm	NULL
4	αβλης	not thrown	NULL
5	ᾰβουλια	want of counsel, thoughtlessness	NULL
6	αβουτης	without oxen	NULL
7	αβροβατης	softly	NULL
8	αβροκομης	with delicate	NULL
9	αβροτης	delicacy, luxury	NULL
10	αβροχιτων	in soft tunic, softly clad	NULL
11	αβῡδος	Abydos	NULL
12	αγαθοεργια	a good deed, service rendered	NULL
13	αγαθοποιια	well doing	NULL
14	αγαθωσυνη	goodness, kindness	NULL
15	αγακλεες	very glorious, famous	NULL
16	αγαλλιᾱσις	great joy, exultation	NULL
17	αγαλλις	the iris	NULL
18	αγαλμ	a glory, delight, honour	NULL
19	αγαλματοποιος	a maker of statues, a sculptor, statuary	NULL
20	αγαμεμνονιδης	Agamemnon's son	NULL
21	αγαμεμνων	the very steadfast	NULL
22	αγαμια	celibacy	NULL
23	αγᾰνακτησις	irritation	NULL
24	αγανοφροσυνη	gentleness, kindliness	NULL
25	αγαπημα	a delight, darling	NULL
26	αγαπηνωρ	loving manliness, manly	NULL
27	αγαπα	love	NULL
28	αγγᾰρος	a mounted courier	NULL
29	αγγηιον		NULL
30	αγγελιη	a message, tidings, news	NULL
31	αγγελιαρχος		NULL
32	αγγελιηφορος	a messenger	NULL
33	αγγελιωτης		NULL
34	αγγελμ	a message, tidings, news	NULL
35	αγγελος	a messenger, envoy	NULL
36	αγγος	a vessel	NULL
37	αγελαρχης	the leader of a company, captain	NULL
38	αγελειη	driver of spoil, forager	NULL
39	ᾰγελα	a herd	NULL
40	αγερσις	a gathering, mustering	NULL
41	αγεστρατος	host-leading	NULL
42	αγημα	anything led, a division	NULL
43	αγηνοριη	manliness, manhood, courage	NULL
44	αγηνωρ	manly, courageous, heroic	NULL
45	ωγη	wonder, awe, amazement	NULL
46	ωγη	a fragment, piece, splinter	NULL
47	αγηρως	not waxing old, undecaying	NULL
48	αγησιλα	leader of people, conductor of men	NULL
49	αγιασμος	consecration, sanctification	NULL
50	αγιστεια	holy rites, temple-worship	NULL
51	αγιοτης	holiness, sanctity	NULL
52	αγκαλη	the bent arm	NULL
53	αγκᾰλισμα	that which is embraced	NULL
54	αγκᾰλος	an armful, bundle	NULL
55	αγκιστριον	a fish-hook	NULL
56	αγκιστρον	a fish-hook	NULL
57	αγκοινη	the bent arm	NULL
58	αγκος	a bend	NULL
59	αγκυλη	a loop	NULL
60	αγκυλιον	ancilia	NULL
61	αγκῠλογλωχιν	with hooked spurs	NULL
62	αγκυλομητης	crooked of counsel, wily	NULL
63	αγκυλοπους	with bent legs	NULL
64	αγκῠλοχειλης	with hooked beak	NULL
65	αγκῠλοχηλης	with crooked claws	NULL
66	αγκυρ	anchor	NULL
67	αγκυριον	a small anchor	NULL
68	αγκων	the bend of the arm, the elbow	NULL
69	αγλαιη	splendour, beauty, adornment	NULL
70	αγλαισμ	an ornament, honour	NULL
71	αγλαοτριαινᾰ	god of the bright trident	NULL
72	αγλαωψ	bright-eyed, beaming	NULL
73	αγλις	a head of garlic	NULL
74	αγμα	a fragment	NULL
75	αγμος	a broken cliff, crag	NULL
76	αγνειη	purity, chastity	NULL
77	αγνευμ	chastity	NULL
78	αγνισμα	a purification, expiation	NULL
79	αγνοημα	a fault of ignorance, error	NULL
80	αγνοιη	want of perception, ignorance	NULL
81	αγνος	a willow-like tree	NULL
82	αγνοτης	purity, chastity	NULL
83	αγνωμοσυνη	want of sense, folly	NULL
84	αγνωσιη	ignorance	NULL
85	αγνως	unknown	NULL
86	αγονια	unfruitfulness	NULL
87	αγορᾱνομος	a clerk of the market	NULL
88	ᾰγορα	an assembly of the people	NULL
89	αγορασμα	that which is bought	NULL
90	αγοραστης	the slave who bought provisions for the house, the purveyor	NULL
91	αγορητης	a speaker, orator	NULL
92	αγορητυς	the gift of speaking, eloquence	NULL
93	ᾰγος	a leader, chief	NULL
94	ᾰγος	any matter of religious awe	NULL
95	αγοστος	the flat of the hand	NULL
96	αγρη	a catching, hunting	NULL
97	αγρειοσυνη	clownishness, a rude, vagrant life	NULL
98	αγρειφνα	a harrow, rake	NULL
99	αγρεμιον		NULL
100	αγρευμα	that which is taken in hunting, booty, prey, spoil	NULL
101	αγρευς	a hunter	NULL
102	αγρευτης	a hunter	NULL
103	αγριας	wild	NULL
104	αγριοτης	wildness, savageness	NULL
105	αγροβοτης	feeding in the field, dwelling in the country	NULL
106	αγρογειτων	a country neighbour	NULL
107	αγροδοτης	a giver of booty	NULL
108	αγροικια	rusticity, boorishness, coarseness	NULL
109	αγροιωτης	a countryman	NULL
110	αγρος	fields, lands	NULL
111	αγροτηρ	rustic	NULL
112	αγροτα	a country-man, rustic	NULL
113	αγροφυλαξ	a watcher of the country	NULL
114	αγρυπνια	sleeplessness, waking, watching	NULL
115	αγρωστις	a grass that mules fed on	NULL
116	αγρωτης	wild	NULL
117	ᾰγυια	a street, highway	NULL
118	ᾰγυιατις	of Apollo Agyieus	NULL
119	αγυιατ	guardian of the streets	NULL
120	αγυμνᾰσια	want of training	NULL
121	αγῠρις	a gathering, crowd	NULL
122	αγῠρμος		NULL
123	αγῠρτης	a collector	NULL
124	αγχινοια	readiness of mind, ready wit, sagacity	NULL
125	αγχιπολις	near the city, dwelling hard by	NULL
126	αγχιστεια	nearness of kin	NULL
127	αγχιστευς	closely akin	NULL
128	αγχιστηρ	one who brings near, the immediate author	NULL
129	αγχονη	a throttling, strangling, hanging	NULL
130	αγωγευς	one that draws	NULL
131	αγωγη	a carrying away, carriage	NULL
132	αγωγιον	the load of a wagon	NULL
133	αγωναρχης	judge of a contest	NULL
134	ᾰγωνια	a contest, struggle for victory	NULL
135	αγωνῐσις	contest for a prize	NULL
136	αγωνισμ	a contest	NULL
137	αγωνισμος	rivalry	NULL
138	αγωνιστης	a rival	NULL
139	αγωνοθεσια	the office of	NULL
140	αγωνοθετης	judge of the contests, director of the games	NULL
141	ᾰγων	a number of people brought together, a gathering, assembly	NULL
142	αδᾰημονια	ignorance	NULL
143	αδει	freedom from fear	NULL
144	αδελφη	a sister	NULL
145	αδελφιδους	a brother's	NULL
146	αδελφιδη	a brother's	NULL
147	αδελφιδιον		NULL
148	αδελφος	sons of the same mother	NULL
149	αδελφοτης	the brotherhood	NULL
150	αδηλια	uncertainty	NULL
151	αδημονια	trouble, distress	NULL
152	αδηρις	without strife	NULL
153	τωδ	Hades	NULL
154	αδιαφθορια	incorruption, uprightness	NULL
155	αδικημ	a wrong done, a wrong	NULL
156	ᾰδῐκια	wrong-doing, injustice	NULL
157	αδικιον	a wrong, wrong-dealing	NULL
158	αδμης	untamed	NULL
159	αδολεσχης	talking to satiety.	NULL
160	αδολεσχια	garrulity, idle talk	NULL
161	αδοξια	ill-repute, disgrace	NULL
162	αδος	satio	NULL
163	αδρηστεια	the Inevitable	NULL
164	αδρια	the Adriatic	NULL
165	αδροσυνη		NULL
166	αδροτης	strength	NULL
167	αδρυας	a kind of nymph, Hamadryad	NULL
168	αδῠνᾰμια	want of strength	NULL
169	αδῠνᾰσια		NULL
170	ᾰδῠτον	the innermost sanctuary	NULL
171	αδωνι	the mourning for Adonis	NULL
