	FPP	English	Sentiment
0	ω	to hurt, damage	NULL
1	αβουλεω	to be unwilling	NULL
2	αβροταζω	to miss	NULL
3	αβρυνω	to make delicate, treat delicately	NULL
4	αγαθουργεω	to do good	NULL
5	αγαθοποιεω	to do good	NULL
6	αγαλλιαω	to rejoice exceedingly	NULL
7	ᾰγαλλω	to make glorious, glorify, exalt	NULL
8	αγανακτω	to feel irritation	NULL
9	ᾰγᾰπαζω	to treat with affection, shew affection to	NULL
10	αγαπω	to treat with affection, to caress, love, be fond of	NULL
11	αγγᾰρευω	to press	NULL
12	αγγελλω	to bear a message	NULL
13	αγειρω	to bring together, gather together	NULL
14	αγελαρχεω	to lead a company	NULL
15	αγηλᾰτεω	to drive out a curse	NULL
16	ᾰγιζω	to hallow, dedicate	NULL
17	αγινω	to lead, bring, carry	NULL
18	αγιστευω	to perform sacred rites	NULL
19	αγκαλιζω	to embrace	NULL
20	αγκυλοω	to crook, bend	NULL
21	αγκῡριζω	to throw by the hook-trick	NULL
22	αγλαιζω	to make bright	NULL
23	αγνευω	to consider as part of purity, make it a point of religion	NULL
24	αγνιζω	to cleanse away	NULL
25	αγνοω	not to perceive	NULL
26	αγνῡμι	to break, shiver	NULL
27	αγνωμονεω	to act without right feeling, act unfairly	NULL
28	ᾰγοραζω	to be in the a)gora/	NULL
29	αγορευω	to speak in the assembly, harangue, speak	NULL
30	αγραυλεω	to dwell in the field	NULL
31	αγρευω	to take by hunting	NULL
32	αγρεω	to capture, seize	NULL
33	αγριαινω	to be angered, provoked, chafed	NULL
34	αγριοω	to make wild	NULL
35	αγρυπνεω	to lie awake, be wakeful	NULL
36	αγρωσσω	to catch	NULL
37	αγῠρταζω	to collect by begging	NULL
38	αγχιστευω	to be next or near	NULL
39	αγχω	to compress, press tight	NULL
40	ᾰγωνια	to contend eagerly, struggle	NULL
41	αγωνοθετεω	to direct the games, exhibit them	NULL
42	γω	to lead	NULL
43	αδηλεω	to be in the dark about	NULL
44	αδημονεω	to be sorely troubled	NULL
45	αδικω	to do wrong	NULL
46	αδολεσχω	to talk idly, prate	NULL
47	αδοξεω	to be held in no esteem, to stand in ill repute	NULL
48	αδρυνω	to make ripe, ripen	NULL
49	αδυνατω	to want strength	NULL
50	αδωνιαζω	those who keep the Adonia	NULL
51	αδω	to sing	NULL
52	αεικιζω	to treat unseemly, injure, abuse	NULL
53	ᾰειρω	to lift, heave, raise up	NULL
54	αελπτεω	to have no hope	NULL
55	ᾰεξω	to increase, enlarge, foster, strengthen	NULL
56	αεροβατω	to walk the air	NULL
57	αεροδρομεω	to traverse the air	NULL
58	αερομετρεω	to measure the air: to lose oneself in vague speculation	NULL
59	αερταω	to lift up	NULL
60	αζανω	to dry, parch up	NULL
61	αζω	to dry up, parch	NULL
62	αηθεσσω	to be unaccustomed to	NULL
63	αημι	to breathe hard, blow	NULL
64	αθᾰνᾰτιζω	to make immortal, to hold oneself immortal	NULL
65	αθεριζω	to slight, make light of	NULL
66	αθετω	to set aside	NULL
67	αθηνιαω	to long to be at Athens	NULL
68	αθλευω	to contend for a prize, combat, wrestle	NULL
69	αθλιω	having contended with	NULL
70	αθρω	to look at, gaze at, observe, perceive	NULL
71	αθροιζω	to gather together, to muster	NULL
72	αθῡμω	to be disheartened, lose heart	NULL
73	αθυρω	to play, sport	NULL
74	αιᾰζω	to cry	NULL
75	αιγυπτιαζω	to speak Egyptian	NULL
76	αιθᾰλοω	to soil with soot	NULL
77	αιθερεμβᾰτεω	to walk in ether	NULL
78	αιθρια	to be clear	NULL
79	αιθριοκοιτεω	to sleep in open air	NULL
80	αιθυσσω	to put in rapid motion, stir up, kindle	NULL
81	αιθω	to light up, kindle	NULL
82	αικαλλω	to flatter, wheedle, fondle	NULL
83	αικιζω	to treat injuriously, to plague, torment	NULL
84	αιμασσω	to make bloody stain with blood	NULL
85	αιμᾰτοω	to make bloody, stain with blood	NULL
86	αιμορροεω	to have a	NULL
87	αινω	to tell	NULL
88	αινιζω		NULL
89	αιολιζω	to speak Aeolian	NULL
90	αιολλω	to shift rapidly to and fro	NULL
91	αιπολεω	to tend goats	NULL
92	αιρετιζω	to choose, select	NULL
93	αιρω	to take with the hand, grasp	NULL
94	αιρω	to take up, raise, lift up	NULL
95	αισθω	to breathe out	NULL
96	αττω	to move with a quick shooting motion, to shoot, dart, glance	NULL
97	αστοω	to make unseen, to annihilate	NULL
98	αισυμναω	to rule over	NULL
99	αισχρολογεω		NULL
100	αισχροπρᾱγεω		NULL
101	αισχῡνω	to make ugly, disfigure, mar	NULL
102	αιτω	to ask, beg	NULL
103	αιτιζω	to ask, beg	NULL
104	αιχμαζω	to throw the spear	NULL
105	αιχμᾰλωτευω	to take prisoner	NULL
106	ᾰῐω	to perceive	NULL
107	αιωρω	to lift up, raise	NULL
108	ακᾰχιζω	to trouble, grieve	NULL
109	ακηδεω	to take no care for, no heed of	NULL
110	ακμαζω	to be in full bloom, be at one's prime	NULL
111	ακολᾰσταινω	to be licentious, intemperate	NULL
112	ακολουθεω	to follow	NULL
113	ᾰκονα	to sharpen, whet	NULL
114	ᾰκοντιζω	to hurl a javelin	NULL
