id	text	bare_text	sequence_num	morph_code	base_form	bare_base_form	definition
1	γογγῠ́λου	γογγυλου	1	a-s---mgp	γογγύλος	γογγυλος	round
2	γογγῠ́λης	γογγυλης	2	a-s---fgp	γογγύλος	γογγυλος	round
3	γογγῠ́λου	γογγυλου	3	a-s---ngp	γογγύλος	γογγυλος	round
4	γογγῠ́λοιν	γογγυλοιν	4	a-d---mgp	γογγύλος	γογγυλος	round
5	γογγῠ́λαιν	γογγυλαιν	5	a-d---fgp	γογγύλος	γογγυλος	round
6	γογγῠ́λοιν	γογγυλοιν	6	a-d---ngp	γογγύλος	γογγυλος	round
7	γογγῠ́λων	γογγυλων	7	a-p---mgp	γογγύλος	γογγυλος	round
8	γογγῠ́λων	γογγυλων	8	a-p---fgp	γογγύλος	γογγυλος	round
9	γογγῠ́λων	γογγυλων	9	a-p---ngp	γογγύλος	γογγυλος	round
10	γογγῠ́λῳ	γογγυλω	10	a-s---mdp	γογγύλος	γογγυλος	round
11	γογγῠ́λῃ	γογγυλη	11	a-s---fdp	γογγύλος	γογγυλος	round
12	γογγῠ́λῳ	γογγυλω	12	a-s---ndp	γογγύλος	γογγυλος	round
13	γογγῠ́λοιν	γογγυλοιν	13	a-d---mdp	γογγύλος	γογγυλος	round
14	γογγῠ́λαιν	γογγυλαιν	14	a-d---fdp	γογγύλος	γογγυλος	round
15	γογγῠ́λοιν	γογγυλοιν	15	a-d---ndp	γογγύλος	γογγυλος	round
16	γογγῠ́λοις	γογγυλοις	16	a-p---mdp	γογγύλος	γογγυλος	round
17	γογγῠ́λαις	γογγυλαις	17	a-p---fdp	γογγύλος	γογγυλος	round
18	γογγῠ́λοις	γογγυλοις	18	a-p---ndp	γογγύλος	γογγυλος	round
19	γογγῠ́λον	γογγυλον	19	a-s---map	γογγύλος	γογγυλος	round
20	γογγῠ́λην	γογγυλην	20	a-s---fap	γογγύλος	γογγυλος	round
21	γογγῠ́λον	γογγυλον	21	a-s---nap	γογγύλος	γογγυλος	round
22	γογγῠ́λω	γογγυλω	22	a-d---map	γογγύλος	γογγυλος	round
23	γογγῠ́λᾱ	γογγυλα	23	a-d---fap	γογγύλος	γογγυλος	round
24	γογγῠ́λω	γογγυλω	24	a-d---nap	γογγύλος	γογγυλος	round
25	γογγῠ́λους	γογγυλους	25	a-p---map	γογγύλος	γογγυλος	round
26	γογγῠ́λᾱς	γογγυλας	26	a-p---fap	γογγύλος	γογγυλος	round
27	γογγῠ́λᾰ	γογγυλα	27	a-p---nap	γογγύλος	γογγυλος	round
28	γογγῠ́λε	γογγυλε	28	a-s---mvp	γογγύλος	γογγυλος	round
29	γογγῠ́λη	γογγυλη	29	a-s---fvp	γογγύλος	γογγυλος	round
30	γογγῠ́λον	γογγυλον	30	a-s---nvp	γογγύλος	γογγυλος	round
31	γογγῠ́λω	γογγυλω	31	a-d---mvp	γογγύλος	γογγυλος	round
32	γογγῠ́λᾱ	γογγυλα	32	a-d---fvp	γογγύλος	γογγυλος	round
