id	text	bare_text	sequence_num	morph_code	base_form	bare_base_form	definition
1	ἀεί-βολος	αει-βολος	1	a-s---fn-	ἀείβολος	αειβολος	continually thrown
2	ἀείβολος	αειβολος	2	a-s---fn-	ἀείβολος	αειβολος	continually thrown
3	ἀεί-βολος	αει-βολος	3	a-s---mn-	ἀείβολος	αειβολος	continually thrown
4	ἀείβολος	αειβολος	4	a-s---mn-	ἀείβολος	αειβολος	continually thrown
5	αἴθ’	αιθ	5	c--------	αἴθε	αιθε	would that
6	αἴθε	αιθε	6	c--------	αἴθε	αιθε	would that
7	ἀκραιφνεῖ	ακραιφνει	7	a-d---fa-	ἀκραιφνής	ακραιφνης	unmixed, pure
8	ἀκραιφνῆ	ακραιφνη	8	a-d---fa-	ἀκραιφνής	ακραιφνης	unmixed, pure
9	ἀκραιφνεῖ	ακραιφνει	9	a-d---fn-	ἀκραιφνής	ακραιφνης	unmixed, pure
10	ἀκραιφνῆ	ακραιφνη	10	a-d---fn-	ἀκραιφνής	ακραιφνης	unmixed, pure
11	ἀκραιφνεῖ	ακραιφνει	11	a-d---fv-	ἀκραιφνής	ακραιφνης	unmixed, pure
12	ἀκραιφνῆ	ακραιφνη	12	a-d---fv-	ἀκραιφνής	ακραιφνης	unmixed, pure
13	ἀκραιφνεῖ	ακραιφνει	13	a-d---ma-	ἀκραιφνής	ακραιφνης	unmixed, pure
14	ἀκραιφνῆ	ακραιφνη	14	a-d---ma-	ἀκραιφνής	ακραιφνης	unmixed, pure
15	ἀκραιφνεῖ	ακραιφνει	15	a-d---mn-	ἀκραιφνής	ακραιφνης	unmixed, pure
16	ἀκραιφνῆ	ακραιφνη	16	a-d---mn-	ἀκραιφνής	ακραιφνης	unmixed, pure
17	ἀκραιφνεῖ	ακραιφνει	17	a-d---mv-	ἀκραιφνής	ακραιφνης	unmixed, pure
18	ἀκραιφνῆ	ακραιφνη	18	a-d---mv-	ἀκραιφνής	ακραιφνης	unmixed, pure
19	ἀκραιφνεῖ	ακραιφνει	19	a-d---na-	ἀκραιφνής	ακραιφνης	unmixed, pure
20	ἀκραιφνῆ	ακραιφνη	20	a-d---na-	ἀκραιφνής	ακραιφνης	unmixed, pure
21	ἀκραιφνεῖ	ακραιφνει	21	a-d---nn-	ἀκραιφνής	ακραιφνης	unmixed, pure
22	ἀκραιφνῆ	ακραιφνη	22	a-d---nn-	ἀκραιφνής	ακραιφνης	unmixed, pure
23	ἀκραιφνεῖ	ακραιφνει	23	a-d---nv-	ἀκραιφνής	ακραιφνης	unmixed, pure
24	ἀκραιφνῆ	ακραιφνη	24	a-d---nv-	ἀκραιφνής	ακραιφνης	unmixed, pure
25	ἀκραιφνεῖς	ακραιφνεις	25	a-p---fa-	ἀκραιφνής	ακραιφνης	unmixed, pure
26	ἀκραιφνής	ακραιφνης	26	a-p---fa-	ἀκραιφνής	ακραιφνης	unmixed, pure
27	ἀκραιφνέσι	ακραιφνεσι	27	a-p---fd-	ἀκραιφνής	ακραιφνης	unmixed, pure
28	ἀκραιφνῶν	ακραιφνων	28	a-p---fg-	ἀκραιφνής	ακραιφνης	unmixed, pure
29	ἀκραιφνεῖς	ακραιφνεις	29	a-p---fn-	ἀκραιφνής	ακραιφνης	unmixed, pure
