	FPP	POS	Dictionary Entry
0	abacus	noun	abacus, abaci, m
1	abalienatio	noun	abalienatio, NULL, f
2	abalieno	verb	abalieno, abalienare, NULL, abalienatus
3	abanteus	adj	abanteus, NULL, NULL
4	Abantiades	noun	Abantiades, NULL, m
5	abavus	noun	abavus, abavi, m
6	NULL	verb	NULL, NULL, NULL, NULL
7	Abdera	noun	Abdera, NULL, f
8	abdicatio	noun	abdicatio, abdicationis, f
9	abdico	verb	abdico, abdicare, NULL, abdicatus
10	abdico	verb	abdico, NULL, NULL, NULL
11	abditus	adj	abditus, abdita, abditum
12	abdo	verb	abdo, abdere, abdidi, abditus
13	abdomen	noun	abdomen, abdominis, n
14	abduco	verb	abduco, abducere, abduxi, abductus
15	Abella	noun	Abella, abellae, f
16	abeo	verb	abeo, abire, abii, abitus
17	NULL	verb	NULL, NULL, NULL, NULL
18	aberratio	noun	aberratio, NULL, f
19	aberro	verb	aberro, aberrare, aberravi, NULL
20	abhorreo	verb	abhorreo, abhorrere, NULL, NULL
21	abicio	verb	abicio, abicere, abici, abiectus
22	abiegnus	adj	abiegnus, abiegna, NULL
23	abies	noun	abies, abietis, f
24	abigo	verb	abigo, abigere, abegi, abactus
25	abitio	noun	abitio, NULL, f
26	abitus	noun	abitus, abitus, m
27	ablegatio	noun	ablegatio, NULL, f
28	ablego	verb	ablego, NULL, NULL, NULL
29	abludit	verb	abludit, NULL, NULL, NULL
30	abluo	verb	abluo, abluere, ablui, ablutus
31	abnegat	verb	abnegat, NULL, NULL, NULL
32	abnormis	adj	abnormis, abnormis, NULL
33	abnuo	verb	abnuo, abnuere, abnui, NULL
34	abnuto	verb	abnuto, NULL, NULL, NULL
35	aboleo	verb	aboleo, abolere, NULL, NULL
36	abolitio	noun	abolitio, abolitionis, f
37	abolla	noun	abolla, abollae, f
38	abominor	verb	abominor, NULL, abominatus
39	Aborigines	noun	Aborigines, NULL, m
40	abortio	noun	abortio, abortionis, f
41	abortivus	adj	abortivus, abortiva, abortivum
42	abortus	noun	abortus, abortus, m
43	NULL	verb	NULL, abradere, NULL, abrasus
44	abripio	verb	abripio, abripere, abripui, NULL
45	abrogatio	noun	abrogatio, abrogationis, f
46	abrogo	verb	abrogo, abrogare, NULL, abrogatus
47	abrotonum	noun	abrotonum, abrotoni, n
