	FPP	POS	Dictionary Entry
0	A	exclaimation	A indecl.
1	a	exclaimation	a indecl.
2	abacus	noun	abacus, abaci, m
3	abalienatio	noun	abalienatio, f indecl.
4	abalieno	verb	abalieno, abalienare, NULL, abalienatus
5	Abanteus	adj	Abanteus, NULL, NULL
6	Abantiades	noun	Abantiades, m indecl.
7	abavus	noun	abavus, abavi, m
8	abcido	verb	NULL, NULL, NULL, NULL
9	Abdera	noun	Abdera, f indecl.
10	abdicatio	noun	abdicatio, abdicationis, f
11	abdico	verb	abdico, abdicare, NULL, abdicatus
12	abdico	verb	abdico, NULL, NULL, NULL
13	abditus	adj	abditus, abdita, abditum
14	abdo	verb	abdo, abdere, abdidi, abditus
15	abdomen	noun	abdomen, abdominis, n
16	abduco	verb	abduco, abducere, abduxi, abductus
17	Abella	noun	Abella, abellae, f
18	abeo	verb	abeo, abire, abii, abitus
19	abequito	verb	NULL, NULL, NULL, NULL
20	aberratio	noun	aberratio, f indecl.
21	aberro	verb	aberro, aberrare, aberravi, NULL
22	abhinc	adv	abhinc indecl.
23	abhorreo	verb	abhorreo, abhorrere, NULL, NULL
24	abicio	adv	abicio indecl.
25	abiegnus	adj	abiegnus, abiegna, NULL
26	abies	noun	abies, abietis, f
27	abigo	verb	abigo, abigere, abegi, abactus
28	abitio	noun	abitio, f indecl.
29	abitus	noun	abitus, abitus, m
30	ablegatio	noun	ablegatio, f indecl.
31	ablego	verb	ablego, NULL, NULL, NULL
32	abludit	verb	abludit, NULL, NULL, NULL
33	abluo	verb	abluo, abluere, ablui, ablutus
34	abnegat	verb	abnegat, NULL, NULL, NULL
35	abnormis	adj	abnormis, abnormis, NULL
36	abnuo	verb	abnuo, abnuere, abnui, NULL
37	abnuto	verb	abnuto, NULL, NULL, NULL
38	aboleo	verb	aboleo, abolere, NULL, NULL
39	abolitio	noun	abolitio, abolitionis, f
40	abolla	noun	abolla, abollae, f
41	abominor	verb	abominor, NULL, abominatus
42	Aborigines	noun	Aborigines, m indecl.
43	abortio	noun	abortio, abortionis, f
44	abortivus	adj	abortivus, abortiva, abortivum
45	abortus	noun	abortus, abortus, m
46	abrado	verb	NULL, abradere, NULL, abrasus
47	abripio	verb	abripio, abripere, abripui, NULL
48	abrogatio	noun	abrogatio, abrogationis, f
49	abrogo	verb	abrogo, abrogare, NULL, abrogatus
50	abrotonum	noun	abrotonum, abrotoni, n
51	abrumpo	adv	abrumpo indecl.
52	abruptio	noun	abruptio, f indecl.
53	abscedo	verb	abscedo, abscedere, abscessi, abscessus
54	abscessio	noun	abscessio, abscessionis, f
55	abscessus	noun	abscessus, abscessus, m
56	abscido	verb	abscido, abscidere, abscidi, abscisus
