	FPP	POS	Dictionary Entry
0	abacus	noun	abacus, abaci, m
1	abalienatio	noun	abalienatio, NULL, f
2	abalieno	noun	abalieno, NULL, n
3	Abantiades	noun	Abantiades, NULL, m
4	abavus	noun	abavus, abavi, m
5	Abdera	noun	Abdera, NULL, f
6	abdicatio	noun	abdicatio, abdicationis, f
7	abdo	noun	abdo, NULL, n
8	abdomen	noun	abdomen, abdominis, n
9	abduco	noun	abduco, NULL, n
10	Abella	noun	Abella, abellae, f
11	abeo	noun	abeo, NULL, n
12	aberratio	noun	aberratio, NULL, f
13	abicio	noun	abicio, NULL, n
14	abies	noun	abies, abietis, f
15	abigo	noun	abigo, NULL, n
16	abitio	noun	abitio, NULL, f
17	abitus	noun	abitus, abitus, m
18	ablegatio	noun	ablegatio, NULL, f
19	abluo	noun	abluo, NULL, n
20	abolitio	noun	abolitio, abolitionis, f
21	abolla	noun	abolla, abollae, f
22	abominor	noun	abominor, NULL, n
23	Aborigines	noun	Aborigines, NULL, m
24	abortio	noun	abortio, abortionis, f
25	abortus	noun	abortus, abortus, m
26	abrogatio	noun	abrogatio, abrogationis, f
27	abrogo	noun	abrogo, NULL, n
28	abrotonum	noun	abrotonum, abrotoni, n
29	abrumpo	noun	abrumpo, NULL, n
30	abruptio	noun	abruptio, NULL, f
31	abscedo	noun	abscedo, NULL, n
32	abscessio	noun	abscessio, abscessionis, f
33	abscessus	noun	abscessus, abscessus, m
34	abscido	noun	abscido, NULL, m
35	abscindo	noun	abscindo, NULL, n
36	absentia	noun	absentia, absentiae, f
37	absolutio	noun	absolutio, absolutionis, f
38	absolvo	noun	absolvo, absolutissimi, n
39	abstinentia	noun	abstinentia, abstinentiae, f
40	abstraho	noun	abstraho, NULL, n
41	abstrudo	noun	abstrudo, NULL, n
42	absumo	noun	absumo, NULL, n
43	abundantia	noun	abundantia, abundantiae, f
44	abusio	noun	abusio, NULL, f
45	abusus	noun	abusus, abusus, m
46	abutor	noun	abutor, NULL, n
47	Academia	noun	Academia, academiae, f
48	Academicus	noun	Academicus, academici, m
49	Academicus	noun	Academicus, academici, m
50	Academus	noun	Academus, academi, m
51	acalanthis	noun	acalanthis, NULL, f
52	acanthus	noun	acanthus, acanthi, m
53	Acbarus	noun	Acbarus, acbari, m
54	accedo	noun	accedo, NULL, n
