	FPP	POS	Dictionary Entry
0	abacus	noun	abacus, abaci, m
1	abalienatio	noun	abalienatio, f indecl.
2	Abantiades	noun	Abantiades, m indecl.
3	abavus	noun	abavus, abavi, m
4	Abdera	noun	Abdera, f indecl.
5	abdicatio	noun	abdicatio, abdicationis, f
6	abdomen	noun	abdomen, abdominis, n
7	Abella	noun	Abella, abellae, f
8	aberratio	noun	aberratio, f indecl.
9	abies	noun	abies, abietis, f
10	abitio	noun	abitio, f indecl.
11	abitus	noun	abitus, abitus, m
12	ablegatio	noun	ablegatio, f indecl.
13	abolitio	noun	abolitio, abolitionis, f
14	abolla	noun	abolla, abollae, f
15	Aborigines	noun	Aborigines, m indecl.
16	abortio	noun	abortio, abortionis, f
17	abortus	noun	abortus, abortus, m
18	abrogatio	noun	abrogatio, abrogationis, f
19	abrotonum	noun	abrotonum, abrotoni, n
20	abruptio	noun	abruptio, f indecl.
21	abscessio	noun	abscessio, abscessionis, f
22	abscessus	noun	abscessus, abscessus, m
23	absentia	noun	absentia, absentiae, f
24	absolutio	noun	absolutio, absolutionis, f
25	abstinentia	noun	abstinentia, abstinentiae, f
26	abundantia	noun	abundantia, abundantiae, f
27	abusio	noun	abusio, f indecl.
28	abusus	noun	abusus, abusus, m
29	Academia	noun	Academia, academiae, f
30	Academus	noun	Academus, academi, m
31	acalanthis	noun	acalanthis, f indecl.
32	acanthus	noun	acanthus, acanthi, m
33	Acbarus	noun	Acbarus, acbari, m
34	acceleratio	noun	acceleratio, f indecl.
35	accendo	noun	accendo, m indecl.
36	accensus	noun	accensus, accensi, m
37	accensus	noun	accensus, accensi, m
38	acceptio	noun	acceptio, f indecl.
39	acceptum	noun	acceptum, accepti, n
40	accessio	noun	accessio, accessionis, f
41	accitus	noun	accitus, accitus, m
42	acclamatio	noun	acclamatio, f indecl.
43	acclivitas	noun	acclivitas, f indecl.
44	accommodatio	noun	accommodatio, f indecl.
45	accretio	noun	accretio, f indecl.
46	accubatio	noun	accubatio, f indecl.
47	accubitio	noun	accubitio, f indecl.
48	accumulator	noun	accumulator, m indecl.
49	accuratio	noun	accuratio, f indecl.
50	accursus	noun	accursus, accursus, m
51	accusatio	noun	accusatio, accusationis, f
52	accusator	noun	accusator, accusatoris, m
53	acerbitas	noun	acerbitas, acerbitatis, f
54	acerra	noun	acerra, acerrae, f
55	acersecomes	noun	acersecomes, m indecl.
56	acervus	noun	acervus, acervi, m
57	Achaemenes	noun	Achaemenes, achaemenis, m
58	Achais	noun	Achais, achais, m
59	Acheron	noun	Acheron, acherontis, m
60	Acheruns	noun	Acheruns, acheruntis, m
61	Achilles	noun	Achilles, achillis, m
62	Acidalia	noun	Acidalia, acidaliae, f
63	acies	noun	acies, acie, f
64	acinaces	noun	acinaces, m indecl.
65	acinus	noun	acinus, acini, m
66	acinum	noun	acinum, acini, n
67	aclys	noun	aclys, f indecl.
68	acoenonoetus	noun	acoenonoetus, m indecl.
69	aconitum	noun	aconitum, aconiti, n
70	Acragas	noun	Acragas, m indecl.
71	acredula	noun	acredula, f indecl.
72	acrimonia	noun	acrimonia, acrimoniae, f
73	Acrisioniades	noun	Acrisioniades, m indecl.
74	Acrisius	noun	Acrisius, acrisii, m
75	acroama	noun	acroama, n indecl.
76	acroasis	noun	acroasis, acroasin, f
77	Acroceraunia	noun	Acroceraunia, n indecl.
78	acta	noun	acta, actae, n
79	Actaeon	noun	Actaeon, actaeonis, m
80	Actaei	noun	Actaei, m indecl.
81	Actias	noun	Actias, f indecl.
82	actio	noun	actio, actionis, f
83	Actium	noun	Actium, n indecl.
84	actor	noun	actor, actoris, m
85	actuaria	noun	actuaria, actuariae, f
86	actum	noun	actum, acti, n
87	actus	noun	actus, actus, m
88	aculeus	noun	aculeus, aculei, m
89	acumen	noun	acumen, acuminis, n
90	acus	noun	acus, acus, f
91	adactio	noun	adactio, f indecl.
92	adamas	noun	adamas, adamantis, m
93	addictio	noun	addictio, f indecl.
94	addictus	noun	addictus, addicti, m
95	additamentum	noun	additamentum, n indecl.
96	Adelphi	noun	Adelphi, m indecl.
97	ademptio	noun	ademptio, f indecl.
98	adeptio	noun	adeptio, f indecl.
99	adhaesio	noun	adhaesio, f indecl.
100	adhortatio	noun	adhortatio, adhortationis, f
101	adhortator	noun	adhortator, m indecl.
102	aditus	noun	aditus, aditus, m
103	adminiculum	noun	adminiculum, adminiculi, n
104	administer	noun	administer, administri, m
105	administra	noun	administra, administrae, f
106	administratio	noun	administratio, administrationis, f
107	administrator	noun	administrator, m indecl.
108	admirabilitas	noun	admirabilitas, f indecl.
109	admiratio	noun	admiratio, admirationis, f
110	admirator	noun	admirator, m indecl.
111	admissum	noun	admissum, admissi, n
112	admistio	noun	admistio, f indecl.
113	admixtio	noun	admixtio, f indecl.
114	admodum	noun	admodum, n indecl.
115	admonitio	noun	admonitio, admonitionis, f
116	admonitum	noun	admonitum, admoniti, n
117	admotio	noun	admotio, f indecl.
118	admurmuratio	noun	admurmuratio, f indecl.
119	Adonis	noun	Adonis, f indecl.
120	adoptatio	noun	adoptatio, f indecl.
121	adoptio	noun	adoptio, adoptionis, f
122	adorea	noun	adorea, f indecl.
123	adulatio	noun	adulatio, adulationis, f
124	adulator	noun	adulator, m indecl.
125	adulescens	noun	adulescens, adulescentis, m
126	adulescentia	noun	adulescentia, adolescentiae, f
127	adulescentula	noun	adulescentula, adulescentulae, f
128	adulescentulus	noun	adulescentulus, adolescentuli, m
129	adulter	noun	adulter, adulteri, m
130	adulterium	noun	adulterium, adulteri, n
131	adumbratio	noun	adumbratio, f indecl.
132	aduncitas	noun	aduncitas, f indecl.
133	advena	noun	advena, aduenae, m
134	adventus	noun	adventus, adventus, m
135	adversatrix	noun	adversatrix, f indecl.
136	adversio	noun	adversio, f indecl.
137	adversus	noun	adversus, adversi, m
138	adversum	noun	adversum, adversi, n
139	adversus	noun	adversus, adversi, m
140	adversus	noun	adversus, adversi, m
141	advocatio	noun	advocatio, advocationis, f
142	advocatus	noun	advocatus, aduocati, m
143	advolatus	noun	advolatus, advolatus, m
144	adytum	noun	adytum, adyti, n
145	aedes	noun	aedes, aedis, f
146	aedes	noun	aedes, aedis, f
147	aedicula	noun	aedicula, aediculae, f
148	aedificatio	noun	aedificatio, aedificationis, f
149	aedificatiuncula	noun	aedificatiuncula, f indecl.
150	aedificator	noun	aedificator, m indecl.
151	aedificium	noun	aedificium, aedificii, n
152	aedilicius	noun	aedilicius, aedilicii, m
153	aedilis	noun	aedilis, aedilis, m
154	aedilitas	noun	aedilitas, aedilitatis, f
155	aeditimus	noun	aeditimus, m indecl.
156	aedituus	noun	aedituus, aeditui, m
157	aegis	noun	aegis, aegidis, f
158	aegrimonia	noun	aegrimonia, aegrimoniae, f
159	aegritudo	noun	aegritudo, aegritudinis, f
160	aegrotatio	noun	aegrotatio, f indecl.
161	aelinos	noun	aelinos, m indecl.
162	aemulatio	noun	aemulatio, aemulationis, f
163	aemulator	noun	aemulator, m indecl.
164	aemulatus	noun	aemulatus, aemulatus, m
165	aenigma	noun	aenigma, n indecl.
166	aenus	noun	aenus, aeni, f
167	aequabilitas	noun	aequabilitas, aequabilitatis, f
168	aequalitas	noun	aequalitas, aequalitatis, f
169	aequanimitas	noun	aequanimitas, aequanimitatis, f
170	aequatio	noun	aequatio, f indecl.
171	aequilibritas	noun	aequilibritas, f indecl.
172	aequinoctium	noun	aequinoctium, aequinoctii, n
173	aequitas	noun	aequitas, aequitatis, f
174	aequor	noun	aequor, aequoris, n
175	aequum	noun	aequum, aequi, n
176	aer	noun	aer, aeris, m
177	aeraria	noun	aeraria, aerariae, f
178	aerarium	noun	aerarium, aerarii, n
179	aerumna	noun	aerumna, aerumnae, f
180	aesculetum	noun	aesculetum, n indecl.
181	aesculus	noun	aesculus, aesculi, f
182	aestas	noun	aestas, aestatis, f
183	aestimatio	noun	aestimatio, aestimationis, f
184	aestimator	noun	aestimator, m indecl.
185	aestiva	noun	aestiva, n indecl.
186	aestuarium	noun	aestuarium, n indecl.
187	aestus	noun	aestus, aestus, m
188	aetas	noun	aetas, aetatis, f
189	aetatula	noun	aetatula, aetatulae, f
190	aeternitas	noun	aeternitas, aeternitatis, f
191	aether	noun	aether, aetheris, m
192	Aethiops	noun	Aethiops, aethiopis, m
193	aethra	noun	aethra, aethrae, f
194	aevum	noun	aevum, aeui, n
195	Africa	noun	Africa, africae, f
196	Africus	noun	Africus, africi, m
197	agaso	noun	agaso, m indecl.
198	agellulus	noun	agellulus, agellvli, m
199	agellus	noun	agellus, agelli, m
200	agema	noun	agema, n indecl.
201	Agenor	noun	Agenor, agenoris, m
202	ager	noun	ager, agri, m
203	agger	noun	agger, aggeris, m
204	aggestus	noun	aggestus, adgestus, m
205	aggressio	noun	aggressio, f indecl.
206	agilitas	noun	agilitas, agilitatis, f
207	agitatio	noun	agitatio, f indecl.
208	agitator	noun	agitator, m indecl.
209	agmen	noun	agmen, agminis, n
210	agna	noun	agna, agnae, f
211	Agnalia	noun	Agnalia, n indecl.
212	agnatio	noun	agnatio, agnationis, f
213	agnina	noun	agnina, f indecl.
214	agnitio	noun	agnitio, agnitionis, f
215	agnus	noun	agnus, agni, m
216	agonium	noun	agonium, n indecl.
217	agrarii	noun	agrarii, m indecl.
218	agricola	noun	agricola, agricolae, m
219	agricultio	noun	agricultio, f indecl.
220	agripeta	noun	agripeta, m indecl.
221	Aius	noun	Aius, ain, m
222	ala	noun	ala, alae, f
223	alacritas	noun	alacritas, alacritatis, f
224	alapa	noun	alapa, alapae, f
225	Albula	noun	Albula, albulae, f
226	album	noun	album, albi, n
227	alces	noun	alces, alcis, f
228	Alcides	noun	Alcides, alcidae, m
229	Alcinous	noun	Alcinous, alcinoi, m
230	alea	noun	alea, aleae, f
231	aleator	noun	aleator, aleatoris, m
232	Alecto	noun	Alecto, alectus, f
233	aleo	noun	aleo, m indecl.
234	alga	noun	alga, algae, f
235	algor	noun	algor, algoris, m
236	alienatio	noun	alienatio, alienationis, f
237	alienigena	noun	alienigena, alienigenae, m
238	alienum	noun	alienum, alieni, n
239	alienum	noun	alienum, alieni, n
240	alimentum	noun	alimentum, alimenti, n
241	alimonium	noun	alimonium, n indecl.
242	aliptes	noun	aliptes, aliptae, m
243	allium	noun	allium, alii, n
244	alnus	noun	alnus, alni, f
245	aloe	noun	aloe, aloes, f
246	alpha	noun	alpha, n indecl.
247	altercatio	noun	altercatio, f indecl.
248	altitudo	noun	altitudo, altitudinis, f
249	altor	noun	altor, altoris, m
250	altrix	noun	altrix, altricis, f
251	altum	noun	altum, alti, n
252	altum	noun	altum, alti, n
253	alumna	noun	alumna, alumnae, f
254	alveolus	noun	alveolus, m indecl.
255	alveus	noun	alveus, aluei, m
256	alvus	noun	alvus, alui, m
257	amandatio	noun	amandatio, f indecl.
258	amandus	noun	amandus, amandi, m
259	amaracus	noun	amaracus, amaraci, m
260	amarantus	noun	amarantus, m indecl.
261	amarities	noun	amarities, f indecl.
262	amaror	noun	amaror, m indecl.
263	amata	noun	amata, amatae, f
264	amator	noun	amator, amatoris, m
265	Amazon	noun	Amazon, amazonis, f
266	Amazonis	noun	Amazonis, f indecl.
