,sequence,translation,sentiment,score
0,αβδηριτης,a man of Abdera,Trust,0.4187321364879608
1,αβελτερια,"silliness, stupidity, fatuity",Disgust,0.5316587686538696
2,αβιοι,"without a living, starving",Disgust,0.3988567292690277
3,αβλαβια,freedom from harm,Joy,0.9523230195045471
4,αβλης,not thrown,Fear,0.5107542276382446
5,ᾰβουλια,"want of counsel, thoughtlessness",Fear,0.3574451208114624
6,αβουτης,without oxen,Disgust,0.5576844215393066
7,αβροβατης,softly,Disgust,0.5601168870925903
8,αβροκομης,with delicate,Joy,0.7961632609367371
9,αβροτης,"delicacy, luxury",Disgust,0.7674567103385925
10,αβροχιτων,"in soft tunic, softly clad",Joy,0.9559916853904724
11,αβῡδος,Abydos,Joy,0.3791637122631073
12,αγαθοεργια,"a good deed, service rendered",Disgust,0.9335302710533142
13,αγαθοποιια,well doing,Trust,0.8773735761642456
14,αγαθωσυνη,"goodness, kindness",Trust,0.9371426105499268
15,αγακλεες,"very glorious, famous",Joy,0.9645076990127563
16,αγαλλιᾱσις,"great joy, exultation",Joy,0.9894002079963684
17,αγαλλις,the iris,Joy,0.7845293283462524
18,αγαλμ,"a glory, delight, honour",Trust,0.5697812438011169
19,αγαλματοποιος,"a maker of statues, a sculptor, statuary",Disgust,0.9663577079772949
20,αγαμεμνονιδης,Agamemnon's son,Trust,0.5930285453796387
21,αγαμεμνων,the very steadfast,Joy,0.9539379477500916
22,αγαμια,celibacy,Trust,0.6807228922843933
23,αγᾰνακτησις,irritation,Anger,0.5996824502944946
24,αγανοφροσυνη,"gentleness, kindliness",Disgust,0.8953364491462708
25,αγαπημα,"a delight, darling",Joy,0.6910441517829895
26,αγαπηνωρ,"loving manliness, manly",Joy,0.8112627863883972
27,αγαπα,love,Trust,0.9701262712478638
28,αγγᾰρος,a mounted courier,Disgust,0.7603513598442078
29,αγγηιον,,Disgust,0.4139344394207001
30,αγγελιη,"a message, tidings, news",Disgust,0.4568222165107727
31,αγγελιαρχος,,Joy,0.5944982171058655
32,αγγελιηφορος,a messenger,Disgust,0.9762246012687683
33,αγγελιωτης,,Joy,0.46576109528541565
34,αγγελμ,"a message, tidings, news",Joy,0.9567293524742126
35,αγγελος,"a messenger, envoy",Surprise,0.9109784960746765
36,αγγος,a vessel,Fear,0.6728744506835938
37,αγελαρχης,"the leader of a company, captain",Disgust,0.8861455321311951
38,αγελειη,"driver of spoil, forager",Joy,0.45353445410728455
39,ᾰγελα,a herd,Disgust,0.6946234107017517
40,αγερσις,"a gathering, mustering",Joy,0.7858220338821411
41,αγεστρατος,host-leading,Trust,0.6067048907279968
42,αγημα,"anything led, a division",Joy,0.7579558491706848
43,αγηνοριη,"manliness, manhood, courage",Disgust,0.61161208152771
44,αγηνωρ,"manly, courageous, heroic",Fear,0.6228752136230469
45,ωγη,"wonder, awe, amazement",Fear,0.43977388739585876
46,ωγη,"a fragment, piece, splinter",Fear,0.43977388739585876
47,αγηρως,"not waxing old, undecaying",Joy,0.4828528165817261
48,αγησιλα,"leader of people, conductor of men",Joy,0.9783467054367065
49,αγιασμος,"consecration, sanctification",Joy,0.9405949711799622
50,αγιστεια,"holy rites, temple-worship",Disgust,0.9677991271018982
51,αγιοτης,"holiness, sanctity",Disgust,0.5355157852172852
52,αγκαλη,the bent arm,Joy,0.9567839503288269
53,αγκᾰλισμα,that which is embraced,Joy,0.5654309391975403
54,αγκᾰλος,"an armful, bundle",Joy,0.9256462454795837
55,αγκιστριον,a fish-hook,Fear,0.42827296257019043
56,αγκιστρον,a fish-hook,Fear,0.841795027256012
57,αγκοινη,the bent arm,Fear,0.5098934769630432
58,αγκος,a bend,Joy,0.6061795353889465
