,sequence,translation,sentiment,score
0,αβδηριτης,a man of Abdera,Joy,0.999963641166687
1,αβελτερια,"silliness, stupidity, fatuity",Disgust,0.9999632835388184
2,αβιοι,"without a living, starving",Disgust,0.9999631643295288
3,αβλαβια,freedom from harm,Joy,0.9999493360519409
4,αβλης,not thrown,Disgust,0.9999611377716064
5,ᾰβουλια,"want of counsel, thoughtlessness",Disgust,0.9998815059661865
6,αβουτης,without oxen,Fear,0.9988337159156799
7,αβροβατης,softly,Disgust,0.9998705387115479
8,αβροκομης,with delicate,Joy,0.9999644756317139
9,αβροτης,"delicacy, luxury",Disgust,0.9999518394470215
10,αβροχιτων,"in soft tunic, softly clad",Disgust,0.9999079704284668
11,αβῡδος,Abydos,Disgust,0.9988625049591064
12,αγαθοεργια,"a good deed, service rendered",Disgust,0.9999681711196899
13,αγαθοποιια,well doing,Trust,0.970937967300415
14,αγαθωσυνη,"goodness, kindness",Joy,0.9597139358520508
15,αγακλεες,"very glorious, famous",Joy,0.5752639174461365
16,αγαλλιᾱσις,"great joy, exultation",Joy,0.9999687671661377
17,αγαλλις,the iris,Joy,0.9999649524688721
18,αγαλμ,"a glory, delight, honour",Joy,0.9999650716781616
19,αγαλματοποιος,"a maker of statues, a sculptor, statuary",Disgust,0.9999674558639526
20,αγαμεμνονιδης,Agamemnon's son,Joy,0.999574601650238
21,αγαμεμνων,the very steadfast,Joy,0.999969482421875
22,αγαμια,celibacy,Joy,0.999940037727356
23,αγᾰνακτησις,irritation,Anger,0.9997773766517639
24,αγανοφροσυνη,"gentleness, kindliness",Disgust,0.9912294149398804
25,αγαπημα,"a delight, darling",Joy,0.9999606609344482
26,αγαπηνωρ,"loving manliness, manly",Joy,0.9999643564224243
27,αγαπα,love,Trust,0.9997519850730896
28,αγγᾰρος,a mounted courier,Disgust,0.9999680519104004
29,αγγηιον,,Disgust,0.9997877478599548
30,αγγελιη,"a message, tidings, news",Fear,0.9981215596199036
31,αγγελιαρχος,,Joy,0.9999527931213379
32,αγγελιηφορος,a messenger,Disgust,0.9999557733535767
33,αγγελιωτης,,Joy,0.9983193278312683
34,αγγελμ,"a message, tidings, news",Joy,0.999970555305481
35,αγγελος,"a messenger, envoy",Fear,0.7809790968894958
36,αγγος,a vessel,Fear,0.9105877876281738
37,αγελαρχης,"the leader of a company, captain",Disgust,0.9999395608901978
38,αγελειη,"driver of spoil, forager",Joy,0.9961507320404053
39,ᾰγελα,a herd,Disgust,0.9456064105033875
40,αγερσις,"a gathering, mustering",Joy,0.9997885823249817
41,αγεστρατος,host-leading,Trust,0.9195277690887451
42,αγημα,"anything led, a division",Joy,0.9982849955558777
43,αγηνοριη,"manliness, manhood, courage",Disgust,0.3804911971092224
44,αγηνωρ,"manly, courageous, heroic",Fear,0.9995891451835632
45,ωγη,"wonder, awe, amazement",Fear,0.9942315816879272
46,ωγη,"a fragment, piece, splinter",Fear,0.9942315816879272
47,αγηρως,"not waxing old, undecaying",Joy,0.9999604225158691
48,αγησιλα,"leader of people, conductor of men",Joy,0.9999691247940063
49,αγιασμος,"consecration, sanctification",Joy,0.9999688863754272
50,αγιστεια,"holy rites, temple-worship",Disgust,0.9999654293060303
51,αγιοτης,"holiness, sanctity",Joy,0.9999696016311646
52,αγκαλη,the bent arm,Joy,0.9996504783630371
53,αγκᾰλισμα,that which is embraced,Disgust,0.9997758269309998
54,αγκᾰλος,"an armful, bundle",Joy,0.9999531507492065
55,αγκιστριον,a fish-hook,Joy,0.5332852005958557
56,αγκιστρον,a fish-hook,Disgust,0.7698186039924622
57,αγκοινη,the bent arm,Joy,0.9999645948410034
58,αγκος,a bend,Joy,0.9999364614486694
59,αγκυλη,a loop,Fear,0.9999866485595703
60,αγκυλιον,ancilia,Fear,0.9999852180480957
61,αγκῠλογλωχιν,with hooked spurs,Fear,0.9999864101409912
62,αγκυλομητης,"crooked of counsel, wily",Fear,0.9999631643295288
63,αγκυλοπους,with bent legs,Fear,0.999790608882904
64,αγκῠλοχειλης,with hooked beak,Fear,0.9999823570251465
65,αγκῠλοχηλης,with crooked claws,Fear,0.9999850988388062
66,αγκυρ,anchor,Fear,0.999930739402771
67,αγκυριον,a small anchor,Fear,0.9974426031112671
68,αγκων,"the bend of the arm, the elbow",Fear,0.931830883026123
69,αγλαιη,"splendour, beauty, adornment",Joy,0.9999700784683228
70,αγλαισμ,"an ornament, honour",Joy,0.9999667406082153
71,αγλαοτριαινᾰ,god of the bright trident,Joy,0.9999673366546631
72,αγλαωψ,"bright-eyed, beaming",Joy,0.9999688863754272
73,αγλις,a head of garlic,Disgust,0.9998151659965515
74,αγμα,a fragment,Joy,0.9999667406082153
75,αγμος,"a broken cliff, crag",Joy,0.9998879432678223
76,αγνειη,"purity, chastity",Joy,0.8056573867797852
77,αγνευμ,chastity,Joy,0.9765557646751404
78,αγνισμα,"a purification, expiation",Disgust,0.9999655485153198
79,αγνοημα,"a fault of ignorance, error",Joy,0.999969482421875
80,αγνοιη,"want of perception, ignorance",Joy,0.9999704360961914
81,αγνος,a willow-like tree,Joy,0.9999700784683228
82,αγνοτης,"purity, chastity",Joy,0.9999693632125854
83,αγνωμοσυνη,"want of sense, folly",Disgust,0.9708957076072693
84,αγνωσιη,ignorance,Joy,0.9999532699584961
85,αγνως,unknown,Joy,0.9919654130935669
86,αγονια,unfruitfulness,Joy,0.9949813485145569
87,αγορᾱνομος,a clerk of the market,Disgust,0.9998517036437988
88,ᾰγορα,an assembly of the people,Joy,0.9998914003372192
89,αγορασμα,that which is bought,Disgust,0.9999450445175171
90,αγοραστης,"the slave who bought provisions for the house, the purveyor",Joy,0.9645458459854126
91,αγορητης,"a speaker, orator",Disgust,0.999774158000946
92,αγορητυς,"the gift of speaking, eloquence",Disgust,0.9999692440032959
93,ᾰγος,"a leader, chief",Joy,0.999966025352478
94,ᾰγος,any matter of religious awe,Joy,0.999966025352478
95,αγοστος,the flat of the hand,Joy,0.9999426603317261
96,αγρη,"a catching, hunting",Joy,0.9999666213989258
97,αγρειοσυνη,"clownishness, a rude, vagrant life",Trust,0.996766209602356
98,αγρειφνα,"a harrow, rake",Joy,0.9354913234710693
99,αγρεμιον,,Joy,0.9999433755874634
100,αγρευμα,"that which is taken in hunting, booty, prey, spoil",Disgust,0.999961256980896
101,αγρευς,a hunter,Disgust,0.999967098236084
102,αγρευτης,a hunter,Disgust,0.9999644756317139
103,αγριας,wild,Joy,0.9999669790267944
104,αγριοτης,"wildness, savageness",Disgust,0.9999703168869019
105,αγροβοτης,"feeding in the field, dwelling in the country",Disgust,0.9999597072601318
106,αγρογειτων,a country neighbour,Disgust,0.9998965263366699
107,αγροδοτης,a giver of booty,Disgust,0.999942421913147
108,αγροικια,"rusticity, boorishness, coarseness",Disgust,0.9999659061431885
109,αγροιωτης,a countryman,Disgust,0.9914847016334534
110,αγρος,"fields, lands",Disgust,0.9999693632125854
111,αγροτηρ,rustic,Joy,0.9995602965354919
112,αγροτα,"a country-man, rustic",Disgust,0.9999499320983887
113,αγροφυλαξ,a watcher of the country,Trust,0.9999457597732544
114,αγρυπνια,"sleeplessness, waking, watching",Joy,0.9744915962219238
115,αγρωστις,a grass that mules fed on,Disgust,0.9990966320037842
116,αγρωτης,wild,Disgust,0.9999648332595825
117,ᾰγυια,"a street, highway",Joy,0.999970555305481
118,ᾰγυιατις,of Apollo Agyieus,Joy,0.9999693632125854
119,αγυιατ,guardian of the streets,Joy,0.999962568283081
120,αγυμνᾰσια,want of training,Joy,0.9999696016311646
121,αγῠρις,"a gathering, crowd",Disgust,0.9999656677246094
122,αγῠρμος,,Disgust,0.9999396800994873
123,αγῠρτης,a collector,Disgust,0.9999498128890991
124,αγχινοια,"readiness of mind, ready wit, sagacity",Trust,0.9747479557991028
125,αγχιπολις,"near the city, dwelling hard by",Joy,0.9999655485153198
126,αγχιστεια,nearness of kin,Trust,0.9998347759246826
127,αγχιστευς,closely akin,Trust,0.999935507774353
128,αγχιστηρ,"one who brings near, the immediate author",Fear,0.9999885559082031
129,αγχονη,"a throttling, strangling, hanging",Fear,0.9959012866020203
130,αγωγευς,one that draws,Disgust,0.9999634027481079
131,αγωγη,"a carrying away, carriage",Trust,0.9998805522918701
132,αγωγιον,the load of a wagon,Disgust,0.9999552965164185
133,αγωναρχης,judge of a contest,Joy,0.9999605417251587
134,ᾰγωνια,"a contest, struggle for victory",Fear,0.9999876022338867
135,αγωνῐσις,contest for a prize,Joy,0.6187968850135803
136,αγωνισμ,a contest,Joy,0.9999630451202393
137,αγωνισμος,rivalry,Joy,0.999657392501831
138,αγωνιστης,a rival,Disgust,0.9999583959579468
139,αγωνοθεσια,the office of,Trust,0.9998449087142944
140,αγωνοθετης,"judge of the contests, director of the games",Disgust,0.5252199172973633
141,ᾰγων,"a number of people brought together, a gathering, assembly",Joy,0.9999699592590332
142,αδᾰημονια,ignorance,Disgust,0.9987857937812805
143,αδει,freedom from fear,Joy,0.9995121955871582
144,αδελφη,a sister,Joy,0.9999334812164307
145,αδελφιδους,a brother's,Disgust,0.924261748790741
146,αδελφιδη,a brother's,Disgust,0.9286854863166809
147,αδελφιδιον,,Disgust,0.9992536902427673
148,αδελφος,sons of the same mother,Sadness,0.9974144697189331
149,αδελφοτης,the brotherhood,Joy,0.9990149736404419
150,αδηλια,uncertainty,Disgust,0.9999649524688721
151,αδημονια,"trouble, distress",Disgust,0.999963641166687
