sequence,translation,emotionbert sentiment,emotionbert confidence,greekbert v2 sentiment,greekbert v2 confidence,same sentiment,confidence diff (enhanced - original)
αβδηριτης,a man of Abdera,Trust,0.4187321364879608,Joy,0.999963641166687,False,0.5812315046787262
αβελτερια,"silliness, stupidity, fatuity",Disgust,0.5316587686538696,Disgust,0.9999632835388184,True,0.46830451488494873
αβιοι,"without a living, starving",Disgust,0.3988567292690277,Disgust,0.9999631643295288,True,0.6011064350605011
αβλαβια,freedom from harm,Joy,0.9523230195045472,Joy,0.9999493360519408,True,0.04762631654739358
αβλης,not thrown,Fear,0.5107542276382446,Disgust,0.9999611377716064,False,0.4892069101333618
ᾰβουλια,"want of counsel, thoughtlessness",Fear,0.3574451208114624,Disgust,0.9998815059661864,False,0.642436385154724
αβουτης,without oxen,Disgust,0.5576844215393066,Fear,0.99883371591568,False,0.4411492943763734
αβροβατης,softly,Disgust,0.5601168870925903,Disgust,0.999870538711548,True,0.43975365161895763
αβροκομης,with delicate,Joy,0.7961632609367371,Joy,0.999964475631714,True,0.20380121469497692
αβροτης,"delicacy, luxury",Disgust,0.7674567103385925,Disgust,0.9999518394470216,True,0.23249512910842907
αβροχιτων,"in soft tunic, softly clad",Joy,0.9559916853904724,Disgust,0.9999079704284668,False,0.043916285037994385
αβῡδος,Abydos,Joy,0.3791637122631073,Disgust,0.9988625049591064,False,0.6196987926959991
αγαθοεργια,"a good deed, service rendered",Disgust,0.9335302710533142,Disgust,0.99996817111969,True,0.06643790006637584
αγαθοποιια,well doing,Trust,0.8773735761642456,Trust,0.970937967300415,True,0.09356439113616943
αγαθωσυνη,"goodness, kindness",Trust,0.9371426105499268,Joy,0.9597139358520508,False,0.022571325302124023
αγακλεες,"very glorious, famous",Joy,0.9645076990127563,Joy,0.5752639174461365,True,-0.3892437815666199
αγαλλιᾱσις,"great joy, exultation",Joy,0.9894002079963684,Joy,0.9999687671661376,True,0.010568559169769176
αγαλλις,the iris,Joy,0.7845293283462524,Joy,0.999964952468872,True,0.21543562412261952
αγαλμ,"a glory, delight, honour",Trust,0.5697812438011169,Joy,0.9999650716781616,False,0.4301838278770447
αγαλματοποιος,"a maker of statues, a sculptor, statuary",Disgust,0.9663577079772948,Disgust,0.9999674558639526,True,0.033609747886657826
αγαμεμνονιδης,Agamemnon's son,Trust,0.5930285453796387,Joy,0.999574601650238,False,0.40654605627059937
αγαμεμνων,the very steadfast,Joy,0.9539379477500916,Joy,0.999969482421875,True,0.04603153467178345
αγαμια,celibacy,Trust,0.6807228922843933,Joy,0.999940037727356,False,0.31921714544296265
αγᾰνακτησις,irritation,Anger,0.5996824502944946,Anger,0.999777376651764,True,0.4000949263572694
αγανοφροσυνη,"gentleness, kindliness",Disgust,0.8953364491462708,Disgust,0.9912294149398804,True,0.09589296579360962
αγαπημα,"a delight, darling",Joy,0.6910441517829895,Joy,0.9999606609344482,True,0.30891650915145874
αγαπηνωρ,"loving manliness, manly",Joy,0.8112627863883972,Joy,0.9999643564224244,True,0.1887015700340272
αγαπα,love,Trust,0.9701262712478638,Trust,0.9997519850730896,True,0.02962571382522583
αγγᾰρος,a mounted courier,Disgust,0.7603513598442078,Disgust,0.9999680519104004,True,0.23961669206619263
αγγηιον,nan,Disgust,0.4139344394207001,Disgust,0.9997877478599548,True,0.5858533084392548
αγγελιη,"a message, tidings, news",Disgust,0.4568222165107727,Fear,0.9981215596199036,False,0.5412993431091309
αγγελιαρχος,nan,Joy,0.5944982171058655,Joy,0.999952793121338,True,0.4054545760154725
αγγελιηφορος,a messenger,Disgust,0.9762246012687684,Disgust,0.9999557733535768,True,0.02373117208480835
αγγελιωτης,nan,Joy,0.4657610952854156,Joy,0.9983193278312684,True,0.5325582325458529
αγγελμ,"a message, tidings, news",Joy,0.9567293524742126,Joy,0.999970555305481,True,0.04324120283126831
αγγελος,"a messenger, envoy",Surprise,0.9109784960746764,Fear,0.7809790968894958,False,-0.12999939918518055
αγγος,a vessel,Fear,0.6728744506835938,Fear,0.9105877876281738,True,0.23771333694458008
αγελαρχης,"the leader of a company, captain",Disgust,0.8861455321311951,Disgust,0.9999395608901978,True,0.11379402875900269
αγελειη,"driver of spoil, forager",Joy,0.4535344541072845,Joy,0.9961507320404052,True,0.5426162779331207
ᾰγελα,a herd,Disgust,0.6946234107017517,Disgust,0.9456064105033876,True,0.25098299980163585
αγερσις,"a gathering, mustering",Joy,0.7858220338821411,Joy,0.9997885823249816,True,0.21396654844284047
αγεστρατος,host-leading,Trust,0.6067048907279968,Trust,0.9195277690887452,True,0.3128228783607484
αγημα,"anything led, a division",Joy,0.7579558491706848,Joy,0.9982849955558776,True,0.24032914638519276
αγηνοριη,"manliness, manhood, courage",Disgust,0.61161208152771,Disgust,0.3804911971092224,True,-0.23112088441848755
αγηνωρ,"manly, courageous, heroic",Fear,0.6228752136230469,Fear,0.9995891451835632,True,0.37671393156051636
ωγη,"wonder, awe, amazement",Fear,0.4397738873958587,Fear,0.9942315816879272,True,0.5544576942920685
ωγη,"a fragment, piece, splinter",Fear,0.4397738873958587,Fear,0.9942315816879272,True,0.5544576942920685
αγηρως,"not waxing old, undecaying",Joy,0.4828528165817261,Joy,0.9999604225158693,True,0.5171076059341432
αγησιλα,"leader of people, conductor of men",Joy,0.9783467054367064,Joy,0.9999691247940063,True,0.021622419357299916
αγιασμος,"consecration, sanctification",Joy,0.9405949711799622,Joy,0.9999688863754272,True,0.05937391519546509
αγιστεια,"holy rites, temple-worship",Disgust,0.9677991271018982,Disgust,0.9999654293060304,True,0.03216630220413219
αγιοτης,"holiness, sanctity",Disgust,0.5355157852172852,Joy,0.9999696016311646,False,0.4644538164138794
αγκαλη,the bent arm,Joy,0.9567839503288268,Joy,0.9996504783630372,True,0.04286652803421043
αγκᾰλισμα,that which is embraced,Joy,0.5654309391975403,Disgust,0.9997758269309998,False,0.4343448877334595
αγκᾰλος,"an armful, bundle",Joy,0.9256462454795836,Joy,0.9999531507492064,True,0.0743069052696228
αγκιστριον,a fish-hook,Fear,0.4282729625701904,Joy,0.5332852005958557,False,0.10501223802566534
αγκιστρον,a fish-hook,Fear,0.841795027256012,Disgust,0.7698186039924622,False,-0.0719764232635498
αγκοινη,the bent arm,Fear,0.5098934769630432,Joy,0.9999645948410034,False,0.4900711178779602
αγκος,a bend,Joy,0.6061795353889465,Joy,0.9999364614486694,True,0.3937569260597229
αγκυλη,a loop,Fear,0.950392723083496,Fear,0.9999866485595704,True,0.04959392547607444
αγκυλιον,ancilia,Fear,0.881037175655365,Fear,0.9999852180480956,True,0.1189480423927306
αγκῠλογλωχιν,with hooked spurs,Fear,0.6460301280021667,Fear,0.9999864101409912,True,0.35395628213882446
αγκυλομητης,"crooked of counsel, wily",Fear,0.8733993172645569,Fear,0.9999631643295288,True,0.12656384706497192
αγκυλοπους,with bent legs,Joy,0.4058504402637481,Fear,0.999790608882904,False,0.5939401686191559
αγκῠλοχειλης,with hooked beak,Fear,0.8383682370185852,Fear,0.9999823570251464,True,0.16161412000656117
αγκῠλοχηλης,with crooked claws,Fear,0.699081301689148,Fear,0.9999850988388062,True,0.3009037971496582
αγκυρ,anchor,Disgust,0.5763899087905884,Fear,0.999930739402771,False,0.4235408306121826
αγκυριον,a small anchor,Fear,0.5955992937088013,Fear,0.9974426031112672,True,0.40184330940246593
αγκων,"the bend of the arm, the elbow",Disgust,0.4715012609958648,Fear,0.931830883026123,False,0.46032962203025823
αγλαιη,"splendour, beauty, adornment",Joy,0.9865953922271729,Joy,0.9999700784683228,True,0.013374686241149902
αγλαισμ,"an ornament, honour",Joy,0.6499864459037781,Joy,0.9999667406082152,True,0.34998029470443714
αγλαοτριαινᾰ,god of the bright trident,Joy,0.9870816469192504,Joy,0.9999673366546632,True,0.01288568973541282
αγλαωψ,"bright-eyed, beaming",Joy,0.9095526933670044,Joy,0.9999688863754272,True,0.09041619300842285
αγλις,a head of garlic,Disgust,0.7363812327384949,Disgust,0.9998151659965516,True,0.26343393325805675
αγμα,a fragment,Joy,0.885671854019165,Joy,0.9999667406082152,True,0.11429488658905018
αγμος,"a broken cliff, crag",Disgust,0.4506991505622864,Joy,0.9998879432678224,False,0.549188792705536
αγνειη,"purity, chastity",Joy,0.45572230219841,Joy,0.8056573867797852,True,0.3499350845813752
αγνευμ,chastity,Disgust,0.7261125445365906,Joy,0.9765557646751404,False,0.2504432201385498
αγνισμα,"a purification, expiation",Disgust,0.8228421807289124,Disgust,0.9999655485153198,True,0.17712336778640747
αγνοημα,"a fault of ignorance, error",Joy,0.9807604551315308,Joy,0.999969482421875,True,0.01920902729034424
αγνοιη,"want of perception, ignorance",Joy,0.982778012752533,Joy,0.9999704360961914,True,0.017192423343658447
αγνος,a willow-like tree,Joy,0.6575911641120911,Joy,0.9999700784683228,True,0.3423789143562317
αγνοτης,"purity, chastity",Joy,0.896390438079834,Joy,0.9999693632125854,True,0.10357892513275146
αγνωμοσυνη,"want of sense, folly",Disgust,0.886435329914093,Disgust,0.9708957076072692,True,0.08446037769317616
αγνωσιη,ignorance,Disgust,0.8431562781333923,Joy,0.999953269958496,False,0.15679699182510365
αγνως,unknown,Trust,0.4922958016395569,Joy,0.9919654130935668,False,0.4996696114540099
αγονια,unfruitfulness,Joy,0.8999367952346802,Joy,0.9949813485145568,True,0.0950445532798766
αγορᾱνομος,a clerk of the market,Disgust,0.8072861433029175,Disgust,0.9998517036437988,True,0.19256556034088135
ᾰγορα,an assembly of the people,Disgust,0.736967146396637,Joy,0.9998914003372192,False,0.2629242539405823
αγορασμα,that which is bought,Disgust,0.8956348299980164,Disgust,0.9999450445175172,True,0.10431021451950084
αγοραστης,"the slave who bought provisions for the house, the purveyor",Trust,0.6172928214073181,Joy,0.9645458459854126,False,0.3472530245780945
αγορητης,"a speaker, orator",Disgust,0.5122196078300476,Disgust,0.999774158000946,True,0.48755455017089844
αγορητυς,"the gift of speaking, eloquence",Anger,0.7376218438148499,Disgust,0.999969244003296,False,0.26234740018844616
ᾰγος,"a leader, chief",Joy,0.8878788948059082,Joy,0.999966025352478,True,0.11208713054656982
ᾰγος,any matter of religious awe,Joy,0.8878788948059082,Joy,0.999966025352478,True,0.11208713054656982
αγοστος,the flat of the hand,Disgust,0.7862450480461121,Joy,0.999942660331726,False,0.2136976122856139
αγρη,"a catching, hunting",Joy,0.8766814470291138,Joy,0.9999666213989258,True,0.12328517436981201
αγρειοσυνη,"clownishness, a rude, vagrant life",Joy,0.5823212265968323,Trust,0.996766209602356,False,0.4144449830055237
αγρειφνα,"a harrow, rake",Fear,0.6777403354644775,Joy,0.9354913234710692,False,0.2577509880065917
αγρεμιον,nan,Joy,0.935144305229187,Joy,0.9999433755874634,True,0.06479907035827637
αγρευμα,"that which is taken in hunting, booty, prey, spoil",Disgust,0.8948071599006653,Disgust,0.999961256980896,True,0.10515409708023071
αγρευς,a hunter,Disgust,0.8385365605354309,Disgust,0.999967098236084,True,0.16143053770065308
αγρευτης,a hunter,Disgust,0.7774431109428406,Disgust,0.999964475631714,True,0.2225213646888734
αγριας,wild,Joy,0.9605057835578918,Joy,0.9999669790267944,True,0.03946119546890259
αγριοτης,"wildness, savageness",Anger,0.4213149547576904,Disgust,0.999970316886902,False,0.5786553621292116
αγροβοτης,"feeding in the field, dwelling in the country",Disgust,0.5922005772590637,Disgust,0.9999597072601318,True,0.4077591300010681
αγρογειτων,a country neighbour,Disgust,0.8472082018852234,Disgust,0.99989652633667,True,0.15268832445144664
αγροδοτης,a giver of booty,Trust,0.7939921617507935,Disgust,0.999942421913147,False,0.20595026016235352
αγροικια,"rusticity, boorishness, coarseness",Disgust,0.916740655899048,Disgust,0.9999659061431884,True,0.0832252502441404
αγροιωτης,a countryman,Trust,0.4167161583900451,Disgust,0.9914847016334534,False,0.5747685432434082
αγρος,"fields, lands",Disgust,0.9777069091796876,Disgust,0.9999693632125854,True,0.022262454032897838
αγροτηρ,rustic,Joy,0.8418715000152588,Joy,0.999560296535492,True,0.15768879652023327
αγροτα,"a country-man, rustic",Joy,0.8738991022109985,Disgust,0.9999499320983888,False,0.12605082988739025
αγροφυλαξ,a watcher of the country,Fear,0.4951944649219513,Trust,0.9999457597732544,False,0.5047512948513031
αγρυπνια,"sleeplessness, waking, watching",Joy,0.5573822855949402,Joy,0.9744915962219238,True,0.41710931062698364
αγρωστις,a grass that mules fed on,Disgust,0.8880369067192078,Disgust,0.9990966320037842,True,0.11105972528457642
αγρωτης,wild,Disgust,0.8095601201057434,Disgust,0.9999648332595824,True,0.190404713153839
