,singular,singular,singular,dual,dual,plural,plural,plural
,first,second,third,second,third,first,second,third
0,εἰμῐ́,εἶ,ἐστί  /  ἐστίν,ἐστόν,ἐστόν,ἐσμέν,ἐστέ,εἰσί  /  εἰσίν
1,ὦ,ᾖς,ᾖ,ἦτον,ἦτον,ὦμεν,ἦτε,ὦσι  /  ὦσιν
2,εἴην,εἴης,εἴη,εἴητον  /  εἶτον,εἰήτην  /  εἴτην,εἴημεν  /  εἶμεν,εἴητε  /  εἶτε,εἴησαν  /  εἶεν
4,active,active,active,active,,,,
5,εἶναι,εἶναι,εἶναι,εἶναι,,,,
6,ὤν,ὤν,ὤν,ὤν,,,,
7,οὖσα,οὖσα,οὖσα,οὖσα,,,,
8,ὄν,ὄν,ὄν,ὄν,,,,
9,"This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  ."
