singular,singular,singular,dual,dual,plural,plural,plural
first,second,third,second,third,first,second,third
εἰμί,ἐσσί  /  εἶς,ἐστί  /  ἐστίν,ἐστόν,ἐστόν,εἰμέν,ἐστέ,εἰσί  (  ν  )/  ἔᾱσι  (  ν  )
ἔω,ᾖς,ἔῃ  /  ἔῃσι  /  ᾖσι,,,,ἦτε,ἔωσι  (  ν  )/  ὦσι  (  ν  )
εἴην,εἴης  /  ἔοις,εἴη  /  ἔοι,εἴητον  /  εἶτον,εἰήτην  /  εἴτην,εἴημεν  /  εἶμεν,εἴητε  /  εἶτε,εἴησαν  /  εἶεν
active,active,active,active,,,,
εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,,,,
ἐών  /  ὤν,ἐών  /  ὤν,ἐών  /  ὤν,ἐών  /  ὤν,,,,
ἐοῦσα  /  οὖσα,ἐοῦσα  /  οὖσα,ἐοῦσα  /  οὖσα,ἐοῦσα  /  οὖσα,,,,
ἐόν  /  ὄν,ἐόν  /  ὄν,ἐόν  /  ὄν,ἐόν  /  ὄν,,,,
"This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  ."
