,Workgroup,Work,Language,Words,URN,URL
0,Anonymous,Anametresis Pontou,"grc,lat,deu",374,urn:cts:greekLit:ggm0001.ggm001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:ggm0001.ggm001.1st1K-grc1:1.1/
1,,Isaias,"lat,eng",36226,urn:cts:hebrewlit:heb0001.heb010.1st1K-eng1,https://scaife.perseus.org/reader/urn:cts:hebrewlit:heb0001.heb010.1st1K-eng1:1.1/
2,Pinytus,De Epistola Pinyti ad Dionysium,"grc,lat",162,urn:cts:greekLit:ogl0001.ogl001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:ogl0001.ogl001.1st1K-grc1:1/
3,pseudo-Aristotle,De mundo,grc,6446,urn:cts:greekLit:stoa0033a.tlg028.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0033a.tlg028.1st1K-grc1:1-5/
4,pseudo-Aristotle,De spiritu,grc,3460,urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1:1-5/
5,Eutropius,Breviarium historiae romanae,grc,23886,urn:cts:greekLit:stoa0121.stoa001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0121.stoa001.opp-grc1:1.1/
6,Hegemonius,Acta Archelai,"lat,grc",4535,urn:cts:greekLit:stoa0146d.stoa001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0146d.stoa001.opp-grc1:5-10/
7,Hegemonius,Acta Archelai,lat,38162,urn:cts:greekLit:stoa0146d.stoa001.opp-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:stoa0146d.stoa001.opp-lat1:1-5/
8,Theocritus,"Syrinx,an electronic transcription.",grc,77,urn:cts:greekLit:tlg0005.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0005.tlg003.1st1K-grc1:1-20/
9,Sophocles,"Ajax,Machine readable text","grc,lat",7971,urn:cts:greekLit:tlg0011.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0011.tlg003.1st1K-grc1:1-30/
10,Herodian,Ab excessu divi Marci,"lat,grc",46884,urn:cts:greekLit:tlg0015.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0015.tlg001.opp-grc1:1.1.1-1.1.5/
11,Philo Judaeus,De opificio mundi,"grc,lat",24061,urn:cts:greekLit:tlg0018.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg001.opp-grc1:1-5/
12,Philo Judaeus,Legum allegoriarum libri i‑iii,"grc,lat",42468,urn:cts:greekLit:tlg0018.tlg002.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg002.opp-grc1:1.1/
13,Philo Judaeus,De Cherubim,"grc,lat",12224,urn:cts:greekLit:tlg0018.tlg003.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg003.opp-grc1:1-5/
14,Philo Judaeus,De sacrificiis Abelis et Caini,"grc,lat",22570,urn:cts:greekLit:tlg0018.tlg004.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg004.opp-grc1:1-5/
15,Philo Judaeus,Quod deterius potiori insidiari soleat,"grc,lat",15259,urn:cts:greekLit:tlg0018.tlg005.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg005.opp-grc1:1-5/
16,Philo Judaeus,De Posteritate Caini,"grc,lat",15274,urn:cts:greekLit:tlg0018.tlg006.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg006.opp-grc1:1-5/
17,Philo Judaeus,De gigantibus,"grc,lat",5285,urn:cts:greekLit:tlg0018.tlg007.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg007.opp-grc1:1-5/
18,Philo Judaeus,Quod deus sit immutabilis,"grc,lat",15294,urn:cts:greekLit:tlg0018.tlg008.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg008.opp-grc1:1-5/
19,Philo Judaeus,De agricultura,"grc,lat",14427,urn:cts:greekLit:tlg0018.tlg009.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg009.opp-grc1:1-5/
20,Philo Judaeus,De plantatione,"grc,lat",14378,urn:cts:greekLit:tlg0018.tlg010.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg010.opp-grc1:1-5/
21,Philo Judaeus,De ebrietate,"grc,lat",17104,urn:cts:greekLit:tlg0018.tlg011.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg011.opp-grc1:1-5/
22,Philo Judaeus,De sobrietate,"grc,lat",5462,urn:cts:greekLit:tlg0018.tlg012.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg012.opp-grc1:1-5/
23,Philo Judaeus,De confusione linguarum,"grc,lat",14933,urn:cts:greekLit:tlg0018.tlg013.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg013.opp-grc1:1-5/
24,Philo Judaeus,De migratione Abrahami,"grc,lat",17407,urn:cts:greekLit:tlg0018.tlg014.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg014.opp-grc1:1-5/
25,Philo Judaeus,Quis rerum divinarum heres sit,"grc,lat",27944,urn:cts:greekLit:tlg0018.tlg015.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg015.opp-grc1:1-5/
26,Philo Judaeus,De congressu eruditionis gratia,"grc,lat",14614,urn:cts:greekLit:tlg0018.tlg016.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg016.opp-grc1:1-5/
27,Philo Judaeus,De fuga et inventione,"grc,lat",17501,urn:cts:greekLit:tlg0018.tlg017.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg017.opp-grc1:1-5/
28,Philo Judaeus,De mutatione nominum,"grc,lat",17630,urn:cts:greekLit:tlg0018.tlg018.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg018.opp-grc1:1-5/
29,Philo Judaeus,De somniis (lib. i‑ii),"grc,lat",38533,urn:cts:greekLit:tlg0018.tlg019.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg019.opp-grc1:1.1/
30,Philo Judaeus,De Abrahamo,"grc,lat",24281,urn:cts:greekLit:tlg0018.tlg020.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg020.opp-grc1:1-5/
31,Philo Judaeus,De Josepho,"grc,lat",22273,urn:cts:greekLit:tlg0018.tlg021.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg021.opp-grc1:1-5/
32,Philo Judaeus,De vita Mosis (lib. i‑ii),"grc,lat",59449,urn:cts:greekLit:tlg0018.tlg022.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg022.opp-grc1:1.1/
33,Philo Judaeus,De decalogo,"grc,lat",15120,urn:cts:greekLit:tlg0018.tlg023.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg023.opp-grc1:1-5/
34,Philo Judaeus,De specialibus legibus (lib. i‑iv),"grc,lat",103137,urn:cts:greekLit:tlg0018.tlg024.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg024.opp-grc1:1.1/
35,Philo Judaeus,De virtutibus,"grc,lat",29681,urn:cts:greekLit:tlg0018.tlg025.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg025.opp-grc1:1-5/
36,Philo Judaeus,De praemiis et poenis et De exsecrationibus,"grc,lat",15487,urn:cts:greekLit:tlg0018.tlg026.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0018.tlg026.opp-grc1:1-5/
